,index,Timestamp,Dia_Spline3_Ham,Event
0,2,442146.686649,14.775575757026672,sitting
1,3,442146.696864,14.27967405345056,sitting
2,4,442146.710942,14.261842575302564,sitting
3,5,442146.722703,14.242767601929321,sitting
4,6,442146.73376,14.222484330608284,sitting
5,7,442146.746593,14.201027958616887,sitting
6,8,442146.75557,14.178433683232573,sitting
7,9,442146.765079,14.154736701732775,sitting
8,10,442146.784241,14.129972211394938,sitting
9,11,442146.792305,14.104175409496497,sitting
10,12,442146.800972,14.077381493314899,sitting
11,13,442146.807664,14.04962566012758,sitting
12,14,442146.817853,14.020943107211975,sitting
13,15,442146.829145,13.991369031845533,sitting
14,16,442146.838651,13.960938631305691,sitting
15,17,442146.848541,13.929687102869881,sitting
16,18,442146.86153,13.897649643815551,sitting
17,19,442146.871297,13.86486145142014,sitting
18,20,442146.881901,13.831357722961082,sitting
19,21,442146.892137,13.797173655715824,sitting
20,22,442146.901448,13.762344446961798,sitting
21,23,442146.953688,13.726905293976452,sitting
22,24,442146.967505,13.690891394037223,sitting
23,25,442146.984273,13.654337944421547,sitting
24,26,442146.996639,13.617280142406866,sitting
25,27,442147.014462,13.579753185270617,sitting
26,28,442147.0339,13.54179227029025,sitting
27,29,442147.042059,13.503432594743192,sitting
28,30,442147.051589,13.464709355906887,sitting
29,31,442147.069563,13.425657751058777,sitting
30,32,442147.07906,13.386312977476303,sitting
31,33,442147.090842,13.3467102324369,sitting
32,34,442147.100456,13.306884713218013,sitting
33,35,442147.110608,13.266871617097074,sitting
34,36,442147.119747,13.226706141351528,sitting
35,37,442147.130765,13.18642348325882,sitting
36,38,442147.138959,13.146058840096378,sitting
37,39,442147.150092,13.10564740914165,sitting
38,40,442147.160649,13.065224387672075,sitting
39,41,442147.166432,13.024824972965089,sitting
40,42,442147.173728,12.984484362298135,sitting
41,43,442147.182374,12.944237752948645,sitting
42,44,442147.192371,12.904120342194071,sitting
43,45,442147.202718,12.864167327311845,sitting
44,46,442147.21535,12.82441390557941,sitting
45,47,442147.225498,12.784895274274206,sitting
46,48,442147.23945,12.74564663067367,sitting
47,49,442147.25055,12.706703172055239,sitting
48,50,442147.263316,12.099582552909851,sitting
49,51,442147.274121,12.097309947013855,sitting
50,52,442147.284914,12.199031352996826,sitting
51,53,442147.29222,12.25965416431427,sitting
52,54,442147.301913,12.206032037734985,sitting
53,55,442147.314412,12.16626763343811,sitting
54,56,442147.324681,12.143588900566101,sitting
55,57,442147.335137,12.186041235923767,sitting
56,58,442147.346652,12.247407913208008,sitting
57,59,442147.356653,12.261476755142212,sitting
58,60,442147.365981,12.248809814453125,sitting
59,61,442147.379026,12.1400808095932,sitting
60,62,442147.393076,12.043113231658936,sitting
61,63,442147.404654,12.079778909683228,sitting
62,64,442147.415147,12.102075815200806,sitting
63,65,442147.427431,12.07422399520874,sitting
64,66,442147.436644,12.04542076587677,sitting
65,67,442147.445465,12.062182784080505,sitting
66,68,442147.457847,12.087611436843872,sitting
67,69,442147.468599,12.099886178970337,sitting
68,70,442147.478824,12.119983911514282,sitting
69,71,442147.490063,12.107772827148438,sitting
70,72,442147.500952,12.118555307388306,sitting
71,73,442147.509259,12.076211094856262,sitting
72,74,442147.521044,12.032763361930847,sitting
73,75,442147.530543,12.005841732025146,sitting
74,76,442147.539669,11.912943124771118,sitting
75,77,442147.553208,11.957496762275696,sitting
76,78,442147.564234,12.092659592628479,sitting
77,79,442147.57694,12.172041535377502,sitting
78,80,442147.58685,12.239222168922424,sitting
79,81,442147.595985,12.178272366523743,sitting
80,82,442147.608711,12.046046733856201,sitting
81,83,442147.619445,12.093302488327026,sitting
82,84,442147.629251,12.180757284164429,sitting
83,85,442147.641423,12.134831070899963,sitting
84,86,442147.650979,12.071577191352844,sitting
85,87,442147.660042,12.009231805801392,sitting
86,88,442147.674535,12.020060420036316,sitting
87,89,442147.685912,12.090233445167542,sitting
88,90,442147.69708,12.127983689308167,sitting
89,91,442147.710109,12.217274188995361,sitting
90,92,442147.722733,12.256691813468933,sitting
91,93,442147.734163,12.14573073387146,sitting
92,94,442147.744419,12.04929268360138,sitting
93,95,442147.757056,12.07480263710022,sitting
94,96,442147.766487,12.104728698730469,sitting
