,Dia_Spline3_Base,Event
28,-2.9367738516575415,default
29,-2.930574968600901,default
30,-2.7157841475254614,default
31,-2.4956684859043676,default
32,0.5915474544083636,default
33,1.806348776051582,default
34,2.966431005779551,default
35,4.0726590918892995,default
36,5.125897982677856,default
37,6.127012626442248,default
38,7.076867971479494,default
39,7.976328966086626,default
40,8.82626055856067,default
41,9.627527697198655,default
42,10.380995330297601,default
43,11.087528406154536,default
44,11.747991873066482,default
45,12.36325067933048,default
46,12.93416977324354,default
47,13.461614103102697,default
48,13.946448617204979,default
49,14.389538263847399,default
50,14.791747991326993,default
51,15.153942747940782,default
52,15.476987481985802,default
53,15.761747141759074,default
54,16.009086675557626,default
55,16.219871031678473,default
56,16.39496515841865,default
57,16.535234004075186,default
58,16.64154251694511,default
59,16.714755645325425,default
60,16.755738337513186,default
61,16.765355541805413,default
62,16.744472206499125,default
63,16.693953279891332,default
64,16.614663710279096,default
65,16.50746844595941,default
66,16.373232435229333,default
67,16.212820626385856,default
68,16.02709796772602,default
69,15.816929407546866,default
70,15.58317989414541,default
71,15.32671437581866,default
72,15.048397800863661,default
73,14.74909511757744,default
74,14.42967127425701,default
75,14.090991219199424,default
76,13.733919900701686,default
77,13.359322267060818,default
78,12.968063266573857,default
79,12.561007847537827,default
80,12.139020958249748,default
81,11.70296754700665,default
82,11.253712562105576,default
83,10.792120951843522,default
84,10.319057664517537,default
85,9.835387648424636,default
86,9.34197585186185,default
87,8.839687223126209,default
88,8.329386710514715,default
89,7.8119392623244295,default
90,7.288209826852366,default
91,6.7590633523955255,default
92,6.2253647872509745,default
93,5.68797907971571,default
94,5.147771178086767,default
95,4.605606030661178,default
96,4.062348585735961,default
97,3.518863791608144,default
98,2.9760165965747554,default
99,2.43467194893282,default
100,1.8956947969793667,default
101,1.3599500890114165,default
102,0.8283027733259907,default
103,0.30161779822012846,default
104,-0.2192398880091524,default
105,-0.7334053370648235,default
106,-1.2400136006498563,default
107,-1.738199730467226,default
108,-2.227098778219908,default
109,-2.705845795610884,default
110,-3.173575834343108,default
111,-3.629423946119571,default
112,-4.07252518264324,default
113,-4.502014595617094,default
114,-4.917027236744099,default
115,-5.3166981577272345,default
116,-5.700162410269474,default
117,-6.066555046073788,default
118,-6.415011116843152,default
119,-6.744665674280544,default
120,-7.05465377008893,default
121,-7.344110455971293,default
122,-7.612170783630599,default
123,-7.857969804769823,default
124,-8.080642571091946,default
125,-8.279324134299934,default
126,-8.453149546096762,default
127,-8.601253858185407,default
128,-8.722772122268841,default
129,-8.81683939005004,default
130,-8.882590713231973,default
131,-7.225889280582102,default
132,-7.382300451541575,default
133,-7.400035694385203,default
134,-7.219053343082102,default
135,-7.384962633395823,default
136,-7.661248996997507,default
137,-7.753213241840037,default
138,-7.725716427112253,default
139,-7.586870506549509,default
140,-7.6201704294926245,default
141,-7.772043779636057,default
142,-7.943716600680979,default
143,-8.338384226108225,default
144,-8.53736837222639,default
145,-8.420579269672068,default
146,-8.400790766025219,default
147,-8.434542015338572,default
148,-5.29587460912416,default
149,-4.970421789895809,default
150,-4.648767059798407,default
151,-4.330894387417953,default
152,-4.0167877413404405,default
153,-3.706431090151872,default
154,-3.3998084024382393,default
155,-3.0969036467855418,default
156,-2.7977007917797785,default
157,-2.50218380600694,default
158,-2.2103366580530306,default
159,-1.922143316504041,default
160,-1.6375877499459754,default
161,-1.3566539269648246,default
162,-1.0793258161465857,default
163,-0.8055873860772564,default
164,-0.5354226053428448,default
165,-0.268815442529327,default
166,-0.005749866222707567,default
167,0.25379015499100177,default
168,0.5098206525258213,default
169,0.7623576577957465,default
170,1.011417202214787,default
171,1.2570153171969274,default
172,1.4991680341562024,default
173,1.737891384506586,default
174,1.973201399662095,default
175,2.205114111036732,default
176,2.433645550044492,default
177,2.6588117480993816,default
178,2.8806287366154137,default
179,3.099112547006577,default
180,3.3142792106868875,default
181,3.5261447590703305,default
182,3.7347252235709334,default
183,3.9400366356026844,default
184,4.142095026579579,default
185,4.340916427915637,default
186,4.536516871024851,default
187,4.728912387321227,default
188,4.918119008218763,default
189,5.10415276513147,default
190,5.2870296894733535,default
191,5.466765812658412,default
192,5.643377166100642,default
193,5.816879781214052,default
194,5.987289689412645,default
195,6.154622922110423,default
196,6.31889551072139,default
197,6.480123486659547,default
198,6.638322881338912,default
199,6.793509726173454,default
200,6.945700052577212,default
201,7.094909891964171,default
202,7.241155275748341,default
203,7.384452235343712,default
204,7.524816802164299,default
205,7.662265007624104,default
206,7.796812883137132,default
207,7.928476460117377,default
208,8.057271769978854,default
209,8.183214844135549,default
210,8.306321714001488,default
211,8.426608410990653,default
212,8.54409096651705,default
213,8.658785411994693,default
214,8.77070777883758,default
215,8.879874098459716,default
216,8.986300402275099,default
217,9.090002721697726,default
218,9.190997088141629,default
219,9.289299533020777,default
220,9.384926087749179,default
221,9.47789278374086,default
222,9.568215652409801,default
223,9.655910725170017,default
224,9.740994033435502,default
225,9.823481608620263,default
226,9.903389482138312,default
227,9.980733685403628,default
228,10.055530249830245,default
229,10.127795206832143,default
230,10.197544587823334,default
231,10.264794424217818,default
232,10.329560747429607,default
233,10.391859588872688,default
234,10.451706979961084,default
