,Dia_Spline3_Base,Event
2,4.156181812286377,default
3,4.070746421813965,default
4,2.6378097534179688,default
5,3.4483094215393066,default
6,6.289517402648926,default
7,8.293509483337402,default
8,8.710516929626465,default
9,8.534940719604492,default
10,8.681986331939697,default
11,8.787880897521973,default
12,8.531907081604004,default
13,8.23136281967163,default
14,8.077857494354248,default
15,7.810513019561768,default
16,7.467415809631348,default
17,7.334790229797363,default
18,7.193814277648926,default
19,6.97983455657959,default
20,6.837839603424072,default
21,6.4937357902526855,default
22,6.125325679779053,default
23,5.972046852111816,default
24,5.82371187210083,default
25,5.892661094665527,default
26,6.090753078460693,default
27,6.004846096038818,default
28,5.895230293273926,default
29,5.794156074523926,default
30,5.565771579742432,default
31,5.403319358825684,default
32,5.3706889152526855,default
33,5.4681077003479,default
34,5.56259822845459,default
35,5.555392265319824,default
36,5.419877529144287,default
37,5.199463844299316,default
38,4.878105640411377,default
39,5.558995246887207,default
40,4.751718997955322,default
41,5.715119361877441,default
42,6.634086608886719,default
43,6.97185754776001,default
44,6.807797431945801,default
45,6.371547698974609,default
46,5.907371520996094,default
47,5.6385416984558105,default
48,5.466144561767578,default
49,5.1608076095581055,default
50,4.795851707458496,default
51,4.646261215209961,default
52,4.655040740966797,default
53,4.73862361907959,default
54,4.855022430419922,default
55,4.976309299468994,default
56,5.14484167098999,default
57,5.1207756996154785,default
58,4.956809043884277,default
59,4.989810466766357,default
60,5.087708473205566,default
61,5.182394027709961,default
62,5.342358589172363,default
63,2.755874940484233,default
64,2.680893770135498,default
65,2.6067679189833193,default
66,2.53349329512654,default
67,2.4610658066639566,default
68,2.3894813616943935,default
69,2.3187358683166686,default
70,2.2488252346295923,default
71,2.179745368731986,default
72,2.111492178722667,default
73,2.044061572700457,default
74,1.9774494587641591,default
75,1.911651745012609,default
76,1.8466643395446063,default
77,1.7824831504589866,default
78,1.7191040858545428,default
79,1.6565230538301172,default
80,1.594735962484508,default
81,1.5337387199165438,default
82,1.4735272342250312,default
83,1.414097413508797,default
84,1.3554451658666533,default
85,1.2975663993974234,default
86,1.2404570221999123,default
87,1.1841129423729466,default
88,1.1285300680153405,default
89,1.0737043072259134,default
90,1.0196315681034775,default
91,0.966307758746856,default
92,0.9137287872548594,default
93,0.8618905617263124,default
94,0.8107889902600238,default
95,0.7604199809548149,default
96,0.710779441909505,default
97,0.6618632812229048,default
98,0.6136674069938373,default
99,0.5661877273211147,default
100,0.5194201503035618,default
101,0.4733605840399804,default
102,0.42800493662920935,default
103,0.3833491161700451,default
104,0.33938903076131943,default
105,0.296120588501843,default
106,0.2535396974904298,default
107,0.2116422658259065,default
