,Dia_Spline3_Base,Event
125,2.4256176948547328,default
126,2.4320120811462402,default
127,2.505492687225342,default
128,2.510289192199707,default
129,2.4664077758789062,default
130,2.4765677452087402,default
131,2.438506603240967,default
132,2.2120232582092285,default
133,2.1292810440063477,default
134,2.276207447052002,default
135,2.1785635948181152,default
136,1.921574592590332,default
137,1.771141529083252,default
138,1.6328144073486328,default
139,1.4864444732666016,default
140,1.2991127967834473,default
141,1.1078991889953613,default
142,1.0112295150756836,default
143,0.9099850654602051,default
144,0.7233080863952637,default
145,0.5567111968994141,default
146,0.5062813758850098,default
147,0.4528384208679199,default
148,0.29053401947021484,default
149,0.11993217468261719,default
150,-0.026802539825439453,default
151,-0.2445201873779297,default
152,-0.3472480773925781,default
153,-0.3178987503051758,default
154,-0.4491124153137207,default
155,-0.595573902130127,default
156,-0.5854706764221191,default
157,-0.6533107757568359,default
158,-0.9317798614501953,default
159,-1.200085163116455,default
160,-1.3477325439453125,default
161,-1.4885010719299316,default
162,-1.4702758789062536,default
163,-1.390964031219486,default
164,-1.5602068901062012,default
165,-1.678347110748291,default
166,-1.617546558380127,default
167,-1.5371122360229492,default
168,-1.4100861549377441,default
169,-1.4457721710205078,default
170,-1.6432108879089355,default
171,-1.7633118629455566,default
172,-1.9135398864746094,default
173,-2.024555206298828,default
174,-1.949160099029541,default
175,-1.8675751686096191,default
176,-1.9094758033752441,default
177,-2.0854005813598633,default
178,-2.2943315505981445,default
179,-2.3432788848876953,default
180,-2.2763853073120117,default
181,-2.223433017730713,default
182,-2.298562526702881,default
183,-2.5135884284973145,default
184,-2.6875452995300293,default
185,-2.707056999206543,default
186,-2.6081342697143555,default
187,-2.5868186950683594,default
188,-2.6338658332824707,default
189,-2.6806039810180664,default
190,-2.7944016456604004,default
191,-2.8291196823120117,default
192,-2.701265335083008,default
193,-2.6644086837768555,default
194,-2.803406238555908,default
195,-2.8692626953125,default
196,-2.7803096771240234,default
197,-2.770681381225586,default
198,-2.906383991241455,default
199,-2.9464111328125,default
200,-2.9086170196533203,default
201,-2.9154415130615234,default
202,-2.9176316261291504,default
203,-2.979829788208008,default
204,-2.913519859313965,default
205,-2.74196195602417,default
206,-2.756725311279297,default
207,-2.7154273986816406,default
208,-2.5673599243164062,default
209,-2.474787712097168,default
210,-2.4680404663085938,default
211,-2.713961601257324,default
212,-3.008824348449707,default
213,-3.009140968322754,default
214,-2.8767552375793457,default
215,-2.8294758796691895,default
216,-2.7947487831115723,default
217,-2.6844077110290527,default
218,-2.6127371788024902,default
219,-2.6795315742492676,default
220,-2.8387012481689453,default
221,-2.8365068435668945,default
222,-2.7825727462768555,default
223,-2.856888771057129,default
224,-2.8701043128967285,default
225,-2.8499159812927246,default
226,-2.8107948303222656,default
227,-2.7521491050720215,default
228,-2.6827168464660645,default
229,-2.7116379737854004,default
230,-2.790743350982666,default
231,-2.7034034729003906,default
232,-2.703911304473877,default
233,-2.879098892211914,default
234,-2.9962010383605957,default
235,-3.037935256958008,default
236,-3.0422821044921875,default
237,-3.0132789611816406,default
238,-2.9589624404907227,default
239,-2.983379364013672,default
240,-3.0888915061950684,default
241,-3.1144304275512695,default
242,-3.096681594848633,default
243,-3.1837539672851562,default
244,-3.3148365020751953,default
245,-3.354796886444092,default
246,-3.286436080932617,default
247,-3.1860718727111816,default
248,-3.1947598457336426,default
249,-3.2546944618225098,default
250,-3.278919219970703,default
251,-3.3178443908691406,default
252,-3.2834696769714355,default
253,-3.199045181274414,default
254,-3.229170799255371,default
