,Dia_Spline3_Base,Event
2,4.479971647262573,default
3,4.280977725982666,default
4,4.2469024658203125,default
5,4.378863096237183,default
6,4.353928804397583,default
7,4.379740953445435,default
8,4.663280010223389,default
9,5.004373550415039,default
10,5.202294826507568,default
11,5.335446119308472,default
12,5.375555038452148,default
13,5.14221453666687,default
14,4.992486476898193,default
15,5.350329399108887,default
16,4.6792662143707275,default
17,4.6792662143707275,default
18,4.6792662143707275,default
19,1.6185646057128906,default
20,4.772183418273926,default
21,4.4752702713012695,default
22,4.496111631393433,default
23,4.695252418518066,default
24,4.8720383644104,default
25,1.5643417835235596,default
26,-2.8230228424072266,default
27,-0.9785211086273193,default
28,1.9889137744903564,default
29,1.6977794170379639,default
30,0.9152593612670898,default
31,-0.5633177757263184,default
32,-1.158055305480957,default
33,1.8181049823760986,default
34,4.992799758911133,default
35,6.005708932876587,default
36,6.710365533828735,default
37,7.573776006698608,default
38,8.235543012619019,default
39,3.6583940533678962,default
40,3.6436637348477703,default
41,3.627113987846016,default
42,3.608767073477896,default
43,3.5886452528586865,default
44,3.566770787103618,default
45,3.5431659373279487,default
46,3.5178529646469556,default
47,3.4908541301758795,default
48,3.462191695029972,default
49,3.431887920324499,default
50,3.3999650671747155,default
51,3.3664453966958696,default
52,3.3313511700032237,default
53,3.2947046482120363,default
54,3.256528092437563,default
55,3.2168437637950547,default
56,3.175673923399774,default
57,3.1330408323669694,default
58,3.088966751811899,default
59,3.0434739428498254,default
60,2.996584666595993,default
61,2.9483211841656747,default
62,2.898705756674108,default
63,2.847760645236569,default
64,2.795508110968285,default
65,2.741970414984543,default
66,2.687169818400587,default
67,2.6311285823316624,default
68,2.573868967893045,default
69,2.5154132361999757,default
70,2.4557836483677207,default
71,2.395002465511517,default
72,2.333091948746656,default
73,2.27007435918836,default
74,2.2059719579519026,default
75,2.140807006152528,default
76,2.0746017649055126,default
77,2.007378495326087,default
78,1.9391594585295273,default
79,1.8699669156310712,default
80,1.7998231277459986,default
81,1.7287503559895505,default
82,1.656770861476982,default
83,1.583906905323552,default
84,1.5101807486445225,default
85,1.4356146525551345,default
86,1.3602308781706611,default
87,1.2840516866063432,default
88,1.2070993389774536,default
89,1.580411672592163,default
90,1.3924541473388672,default
91,1.361569881439209,default
92,1.3888306617736816,default
93,1.3789613246917725,default
94,1.3260138034820557,default
95,1.3037209510803223,default
96,1.3772013187408447,default
97,1.4486241340637207,default
98,1.4182705879211426,default
99,1.2581031322479248,default
100,1.043236494064331,default
101,0.9548523426055908,default
102,0.924309253692627,default
103,0.7229132652282715,default
104,0.5644371509552002,default
105,0.5135753154754639,default
106,0.1959092617034912,default
107,-0.2541947364807129,default
108,-0.4073808193206787,default
109,-0.3822331428527832,default
110,-0.519503116607666,default
111,-0.702157735824585,default
112,-0.7418093681335449,default
113,-0.7448341846466064,default
114,-0.8045241832733154,default
115,-0.8765408992767334,default
116,-0.981759786605835,default
117,-1.1565144062042236,default
118,-1.273522138595581,default
119,-1.3379521369934082,default
120,-1.4202301502227783,default
121,-1.536768913269043,default
122,-1.621948003768921,default
123,-1.6621088981628418,default
124,-1.748948097229004,default
125,-1.834995985031128,default
126,-1.9323222637176514,default
127,-2.0945401191711426,default
128,-2.1994974613189697,default
129,-2.2454371452331543,default
130,-2.3307266235351562,default
131,-2.4078171253204346,default
132,-2.5073745250701904,default
133,-2.6215391159057617,default
134,-2.728278636932373,default
135,-2.8663668632507324,default
136,-2.9882900714874268,default
137,-3.0601603984832764,default
138,-3.1306138038635254,default
139,-3.2043838500976562,default
140,-3.2558722496032715,default
141,-3.414229393005371,default
142,-3.638319253921509,default
143,-3.751767635345459,default
144,-3.789846181869507,default
145,-3.8053736686706543,default
146,-3.855048418045044,default
147,-4.019544363021851,default
148,-4.198999881744385,default
149,-4.281292915344238,default
150,-4.2763447761535645,default
151,-4.233437538146973,default
152,-4.2452332973480225,default
153,-4.226110458374023,default
154,-4.2394304275512695,default
155,-4.402013063430786,default
156,-4.49854302406311,default
157,-4.547471523284912,default
158,-4.627915382385254,default
159,-4.731085777282715,default
160,-4.806126117706299,default
161,-4.804611682891846,default
162,-4.877777099609375,default
163,-4.964823961257935,default
164,-5.0871498584747314,default
165,-5.199784278869629,default
166,-5.118918418884277,default
167,-5.105679273605347,default
168,-5.247189283370972,default
169,-5.342751741409302,default
170,-5.3468968868255615,default
171,-5.324679851531982,default
172,-5.358814239501953,default
173,-5.395713567733765,default
174,-5.411950349807739,default
175,-5.453520059585571,default
176,-5.432102203369141,default
177,-5.405270099639893,default
178,-5.510328769683838,default
179,-5.647798299789429,default
180,-5.593144178390503,default
181,-5.472940921783447,default
182,-5.5926079750061035,default
183,-5.463230490684509,default
184,-5.463230490684509,default
185,-5.491634845733643,default
186,-5.551468372344971,default
187,-6.898377180099487,default
188,-5.620471239089966,default
189,-5.671305060386658,default
190,-4.752699375152588,default
191,-4.989397764205933,default
192,-4.922497391700745,default
193,-5.452449440956116,default
194,-5.832679271697998,default
195,-5.811468482017517,default
196,-5.726379990577698,default
197,-5.736442565917969,default
198,-5.694811820983887,default
199,-5.5470874309539795,default
200,-5.462795972824097,default
201,-5.38176417350769,default
202,-5.406055212020874,default
203,-5.5135931968688965,default
204,-5.495300054550171,default
205,-5.4853715896606445,default
206,-5.461910009384155,default
207,-5.4110188484191895,default
208,-5.463458061218262,default
209,-5.503591299057007,default
210,-5.554760932922363,default
211,-5.737732410430908,default
212,-5.5104979276657104,default
213,-5.6826653480529785,default
214,-5.603861570358276,default
215,-5.693349719047546,default
216,-5.696030378341675,default
217,-5.5928791761398315,default
218,-5.552655220031738,default
219,-5.507402658462524,default
220,-5.435456037521362,default
221,-5.497101545333862,default
222,-5.549026966094971,default
223,-5.516143798828125,default
224,-5.526027679443359,default
225,-5.5912463665008545,default
226,-5.640964984893799,default
227,-5.4582359790802,default
228,-5.195917129516602,default
229,-5.438168048858643,default
230,-5.886681795120239,default
231,-5.894286155700684,default
232,-5.825853109359741,default
233,-5.998569011688232,default
234,-5.984769105911255,default
235,-5.588986873626709,default
236,-5.124641180038452,default
237,-4.8014914989471436,default
238,-4.610031843185425,default
239,-4.533108472824097,default
240,-4.508968830108643,default
241,-4.473799228668213,default
242,-4.426734924316406,default
243,-4.288648843765259,default
244,-4.1561315059661865,default
245,-4.104170560836792,default
246,-4.046416521072388,default
247,-3.979451894760132,default
248,-3.865910291671753,default
249,-3.685460329055786,default
250,-3.537618637084961,default
251,-3.548867702484131,default
252,-3.536477565765381,default
253,-3.377671480178833,default
254,-3.2736096382141113,default
255,-3.272475242614746,default
256,-3.24975848197937,default
257,-3.2130022048950195,default
258,-3.1526317596435547,default
259,-3.0675084590911865,default
260,-3.0582571029663086,default
261,-3.037452459335327,default
262,-2.909489631652832,default
263,-2.7807424068450928,default
264,-2.7291252613067627,default
265,-2.6574230194091797,default
266,-2.5625202655792236,default
267,-2.516183853149414,default
268,-2.4780755043029785,default
269,-2.437351942062378,default
270,-2.379039764404297,default
271,-2.2283735275268555,default
272,-1.9008936882019043,default
273,-1.7227261066436768,default
274,-1.922053337097168,default
275,-2.0583231449127197,default
276,-1.9817323684692383,default
277,-1.8296105861663818,default
278,-1.691767692565918,default
279,-1.6466777324676514,default
280,-1.6462299823760986,default
281,-1.602114200592041,default
282,-1.5712900161743164,default
283,-1.5902178287506104,default
284,-1.5134634971618652,default
285,-1.4357635974884033,default
286,-1.4157426357269287,default
287,-1.407674789428711,default
288,-1.3499000072479248,default
289,-1.160571813583374,default
290,-1.0886223316192627,default
291,-1.2471778392791748,default
292,-1.393507719039917,default
293,-1.3793058395385742,default
294,-1.313713788986206,default
295,-1.2744204998016357,default
296,-1.1990289688110352,default
297,-1.1005923748016357,default
298,-0.990086555480957,default
299,-0.9642610549926758,default
300,-0.991971492767334,default
301,-0.9151320457458496,default
302,-0.846221923828125,default
303,-0.8321323394775391,default
304,-0.865574836730957,default
305,-0.913402795791626,default
306,-0.878110408782959,default
307,-0.6735115051269531,default
308,-0.839177131652832,default
309,2.542726993560791,default
310,-0.7724602222442627,default
311,-0.043514132499694824,default
312,-3.3959202766418457,default
313,0.5864832401275635,default
314,1.8861265182495117,default
315,2.693256139755249,default
316,2.114757537841797,default
317,0.9544384479522705,default
318,1.8018300533294678,default
319,3.936875581741333,default
320,5.558773040771484,default
321,6.517723321914673,default
322,6.765787601470947,default
323,6.414018392562866,default
324,5.722588539123535,default
325,5.0487754344940186,default
326,4.493122577667236,default
327,4.0982160568237305,default
328,4.096017837524414,default
329,4.405871391296387,default
330,4.7315802574157715,default
331,4.860686302185059,default
332,4.796067237854004,default
333,4.806171417236328,default
334,4.829547882080078,default
335,4.623659372329712,default
336,4.685799598693848,default
337,5.416616439819336,default
338,6.131784200668335,default
339,6.433915376663208,default
340,4.845117092132568,default
341,6.485877513885498,default
342,6.387322187423706,default
343,6.200978517532349,default
344,5.765539169311523,default
345,5.185363292694092,default
346,4.652516603469849,default
347,4.4107666015625,default
348,4.462005853652954,default
349,4.513240337371826,default
350,4.342014312744141,default
351,4.102859020233154,default
