,Dia_Spline3_Base,Event
89,2.2166359424591064,default
90,2.197863817214966,default
91,2.159844160079956,default
92,2.159780263900757,default
93,2.17278790473938,default
94,2.2218258380889893,default
95,2.2766692638397217,default
96,2.216681718826294,default
97,1.9758145809173584,default
98,1.8152401447296143,default
99,1.830749273300171,default
100,1.810011625289917,default
101,1.689359426498413,default
102,1.50821852684021,default
103,1.4485547542572021,default
104,1.4949538707733154,default
105,1.5454213619232178,default
106,1.3657052516937291,default
107,1.0101191997528076,default
108,1.0128915309906006,default
109,1.1179802417755127,default
110,1.004884958267212,default
111,0.9149510860443115,default
112,0.8518016338348389,default
113,0.7888109683990479,default
114,0.8058841228485107,default
115,0.8124434947967529,default
116,0.7493045330047607,default
117,0.7043821811676025,default
118,0.586296796798706,default
119,0.37225985527038574,default
120,0.25272583961486816,default
121,0.21517491340636852,default
122,0.19070839881896973,default
123,0.1914231777191162,default
124,0.11895203590393066,default
125,0.0214231014251709,default
126,-0.05389809608459473,default
127,-0.1505873203277588,default
128,-0.1699669361114502,default
129,-0.24720978736877441,default
130,-0.45595526695251465,default
131,-0.601154088973999,default
132,-0.7122561931610107,default
133,-0.7693040370941162,default
134,-0.7046759128570557,default
135,-0.7386958599090576,default
136,-0.8869116306304932,default
137,-1.016068696975708,default
138,-1.0947511196136475,default
139,-1.1688611507415771,default
140,-1.2765767574310303,default
141,-1.3355700969696045,default
142,-1.3917534351348841,default
143,-1.4775259494781459,default
144,-1.584472417831421,default
145,-1.732881784439087,default
146,-1.8577725887298584,default
147,-1.9135677814483643,default
148,-1.924109697341919,default
149,-1.9237220287322998,default
150,-1.9071171283721924,default
151,-1.944426298141476,default
152,-2.0462415218353236,default
153,-2.075493097305298,default
154,-2.1711599826812744,default
155,-2.4119327068328857,default
156,-2.5290520191192627,default
157,-2.484752893447876,default
158,-2.478886365890503,default
159,-2.5023510456085205,default
160,-2.4494030475616455,default
161,-2.341888189315796,default
162,-2.2902376651763916,default
163,-2.4056527614593506,default
164,-2.5360171794891357,default
165,-2.597496271133423,default
166,-2.7208054065704346,default
167,-2.868757963180542,default
168,-2.9717538356781006,default
169,-2.9887444972991943,default
170,-2.972817182540897,default
171,-2.9913213253021276,default
172,-3.0383903980255127,default
173,-3.141037702560425,default
174,-3.2669107913970947,default
175,-3.3121726512908936,default
176,-4.409880610139478,default
177,-4.44087070764299,default
178,-4.470470083937826,default
179,-4.498689017989022,default
180,-4.525537788761596,default
181,-4.551026675220587,default
182,-4.57516595633102,default
183,-4.597965911057919,default
