,index,Timestamp,Dia_Spline3_Ham,Event
0,7568,875856.254011,16.03009605407715,sitting
1,7569,875856.262175,15.107137918472292,sitting
2,7570,875856.270048,15.196502089500427,sitting
3,7571,875856.277914,15.411599278450012,sitting
4,7572,875856.286049,15.609668016433716,sitting
5,7573,875856.2939309999,15.91590166091919,sitting
6,7574,875856.30212,16.33468532562256,sitting
7,7575,875856.310065,13.995054602622986,sitting
8,7576,875856.318003,8.892039775848389,sitting
9,7577,875856.326073,6.322521924972534,sitting
10,7578,875856.334319,6.319619655609131,sitting
11,7579,875856.341919,6.317286491394043,sitting
12,7580,875856.350714,6.3160083293914795,sitting
13,7581,875856.357963,6.411539435386658,sitting
14,7582,875856.36621,6.53037965297699,sitting
15,7583,875856.37472,6.035458340600199,sitting
16,7584,875856.3821469999,2.7802650068707955,sitting
17,7585,875856.389967,-3.827738198454391,sitting
18,7586,875856.398241,-14.775521613696597,sitting
19,7587,875856.405988,-31.05005557717709,sitting
20,7588,875856.414105,-53.638310427217135,sitting
21,7589,875856.422033,-83.5272565021379,sitting
22,7590,875856.429881,-121.70386414026069,sitting
23,7591,875856.438021,-169.1551036799067,sitting
24,7592,875856.446056,-226.867945459397,sitting
25,7593,875856.454035,-295.8293598170535,sitting
26,7594,875856.461915,-377.0263170911967,sitting
27,7595,875856.470099,-471.44578762014817,sitting
28,7596,875856.479039,-580.0747417422292,sitting
29,7597,875856.486129,-703.9001497957609,sitting
30,7598,875856.493905,-843.9089821190644,sitting
31,7599,875856.502038,-1001.088209050461,sitting
32,7600,875856.510018,-1176.424800928272,sitting
33,7601,875856.521909,-1370.9057280908205,sitting
34,7602,875856.5299729999,-1585.5179608764229,sitting
35,7603,875856.537944,-1821.248469623405,sitting
36,7604,875856.545914,-2079.0842246700868,sitting
37,7605,875856.553983,-2360.012196354788,sitting
38,7606,875856.561845,-2665.019355015833,sitting
39,7607,875856.571125,-2995.0926709915384,sitting
40,7608,875856.578304,-3351.219114620232,sitting
41,7609,875856.585918,-3734.385656240229,sitting
42,7610,875856.5940159999,-4145.579266189854,sitting
43,7611,875856.603652,-4585.786914807424,sitting
44,7612,875856.609995,-5055.995572431268,sitting
45,7613,875856.617962,-5557.1922093997,sitting
46,7614,875856.626111,-6090.363796051044,sitting
47,7615,875856.633818,-6656.497302723617,sitting
48,7616,875856.6420989999,-7256.57969975575,sitting
