,Dia_Spline3_Base,Event
0,,default
1,,default
2,-1.2900534683201315,default
3,-1.2246285508201318,default
4,-1.06654988082013,default
5,-1.097080808320129,default
6,-1.1961570783201303,default
7,-1.4714594883201322,default
8,-1.5649944358201324,default
9,-1.3406830833201298,default
10,-1.0350190183201278,default
11,-0.5617028258201344,default
12,-0.4207244908201311,default
13,-0.7361260458201322,default
14,-0.74972925832013,default
15,-0.6312700358201297,default
16,-0.7169419383201294,default
17,-0.7917843908201299,default
18,-0.7540079183201343,default
19,-0.6220551533201295,default
20,-0.6428261808201299,default
21,-0.7017723158201328,default
22,-0.6080308983201306,default
23,-0.5968161633201277,default
24,-0.6946593333201321,default
25,-0.6242109358201304,default
26,-0.4249335358201307,default
27,-0.4733139108201314,default
28,-0.6310897883201321,default
29,-0.6425262483201308,default
30,-0.7050844233201303,default
31,-0.68898974082013,default
32,-0.5883651783201316,default
33,-0.7438508083201327,default
34,-1.0043526708201291,default
35,-0.936043363320131,default
36,-0.7093621308201286,default
37,-0.7234889083201281,default
38,-0.8401628558201288,default
39,-0.8022957858201316,default
40,-0.6302305258201315,default
41,-0.47128592082012943,default
42,-0.5358477658201295,default
43,-0.7659979883201302,default
44,-0.6561132508201304,default
45,-0.3859511458201297,default
46,-0.3914724408201309,default
47,-0.4267397908201289,default
48,-0.35474977832013366,default
49,-0.23005257332012974,default
50,-0.260501010820132,default
51,-0.5512381608201302,default
52,-0.5787111333201302,default
53,-0.3703266208201299,default
54,-0.343670470820129,default
55,-0.3982163508201282,default
56,-0.46098004082013233,default
57,-0.46284781082012927,default
58,-0.4055219708201321,default
59,-0.3912697833201335,default
60,-0.32445869832012875,default
61,-0.3039175083201293,default
62,-0.45742283332013045,default
63,-0.59630022582013,default
64,-0.6635237733201294,default
65,-0.6499134083201312,default
66,-0.5732523008201298,default
67,-0.5485750258201314,default
68,-0.5000897458201301,default
69,-0.4848528908201324,default
70,-0.5594554933201294,default
71,-0.6154113808201309,default
72,-0.6541482033201298,default
73,-0.6569410383201308,default
74,-0.6720257808201282,default
75,-0.582428078320131,default
76,-0.4014869733201323,default
