,Dia_Spline3_Base,Event
2,-4.135755278403408,default
3,-4.171374537284024,default
4,-4.271385886008389,default
5,-4.120549418265469,default
6,-4.114910818869717,default
7,-4.344466902548916,default
8,-4.379974104697354,default
9,-4.32906649285043,default
10,-4.322151877219326,default
11,-4.257703997428067,default
12,-4.2353813427039455,default
13,-4.196329333121426,default
14,-4.1739752071448635,default
15,-4.13754866295541,default
16,-3.998537756735928,default
17,-3.9657418506690334,default
18,-4.011011816794522,default
19,-4.013332583243496,default
20,-3.9754121082373928,default
21,-3.9086091297217678,default
22,-3.9023000972815822,default
23,-3.9487602489539455,default
24,-3.9613525646277736,default
25,-3.9592721241065334,default
26,-3.98295471840585,default
27,-3.9799396770545314,default
28,-3.900670744712002,default
29,-3.885817744071133,default
30,-4.014217116171963,default
31,-4.058838583762295,default
32,-4.013253428275235,default
33,-4.049119688803799,default
34,-4.017391421134121,default
35,-3.87356636696542,default
36,-3.7877867000647854,default
37,-3.785858370597012,default
38,-3.7167212741919826,default
39,-3.638229109580166,default
40,-3.7699434536048244,default
41,-3.83134863548959,default
42,-3.629496313864834,default
43,-3.581958510214932,default
44,-3.7523653286048244,default
45,-3.8209492939063345,default
46,-3.7372610347815787,default
47,-3.6414792316504787,default
48,-3.65719149285043,default
49,-3.6273395793982814,default
50,-3.4883882778235744,default
51,-3.492025591666348,default
52,-3.6761414783545803,default
53,-3.8215424793311428,default
54,-3.8221661823340725,default
55,-3.728431917960293,default
56,-3.6549470203467678,default
57,-3.6581437366553615,default
58,-3.7635671871253322,default
59,-3.9253790157386135,default
60,-3.8758203762122463,default
61,-3.6910793560096096,default
62,-3.615646101767666,default
63,-3.5632879512854885,default
64,-3.4534852283545803,default
65,-3.3256995456763576,default
66,-3.284036852652676,default
67,-3.3888141887732814,default
68,-3.4889423626014064,default
69,-3.471718050772793,default
70,-3.4857799785682033,default
71,-3.4594065921851467,default
72,-3.369243838126309,default
73,-3.417462565238125,default
74,-3.3427960651465725,default
75,-3.2540204303809475,default
76,-3.499315001303799,default
77,-3.602431513602383,default
78,-3.429815031821377,default
79,-3.4133956211158107,default
80,-3.4659206646033596,default
81,-3.3772084491797756,default
82,-3.27806494408334,default
83,-3.241317488486416,default
84,-3.250430323416836,default
85,-3.2384989040442775,default
86,-3.042772032553799,default
87,-2.7603547351905178,default
88,-2.738051630789883,default
89,-2.919250704581387,default
90,-2.913079478079922,default
91,-2.845438696677334,default
92,-2.883848406607754,default
93,-2.954399802024014,default
94,-3.094137408072598,default
95,-3.093703486258633,default
96,-2.9815270679541896,default
97,-3.047589041525967,default
98,-3.139545180136807,default
99,-3.0222203510352443,default
100,-2.9166228550025295,default
101,-3.0101954715796744,default
102,-2.9794971721717154,default
103,-2.76475928002084,default
104,-2.7934934871741604,default
105,-3.026759840781338,default
106,-1.873132158184422,default
107,-1.7945091558840325,default
108,-1.7148022914231618,default
109,-1.6340362228682537,default
110,-1.5522356082857733,default
111,-1.4694251057421717,default
112,-1.3856293733039138,default
113,-1.3008730690374435,default
114,-1.2151808510092224,default
115,-1.1285773772857155,default
116,-1.0410873059333667,default
117,-0.9527352950186412,default
118,-0.8635460026079897,default
119,-0.773544086767874,default
120,-0.6827542055647484,default
121,-0.5912010170650603,default
122,-0.49890917933528556,default
123,-0.4059033504418643,default
124,-0.31220818845126175,default
125,-0.2178483514299323,default
126,-0.12284849744433046,default
127,-0.027233284560907123,default
128,0.06897262915386904,default
129,0.16574458563355066,default
130,0.2630579268116726,default
131,0.36088799462178756,default
132,0.4592101309974339,default
133,0.5579996778721572,default
134,0.657231977179503,default
135,0.7568823708530026,default
136,0.8569262008262157,default
137,0.9573388090326809,default
138,1.0580955374059364,default
139,1.1591717278795315,default
140,1.260542722387001,default
141,1.362183862861901,default
142,1.46407049123777,default
143,1.5661779494481465,default
144,1.668481579426576,default
145,1.770956723106611,default
146,1.8735787224217795,default
147,1.9763229193056375,default
148,2.07916465569172,default
149,2.182079273513583,default
150,2.285042114704762,default
151,2.3880285211987875,default
152,2.4910138349292303,default
153,2.5939733978296076,default
154,2.6968825518334825,default
155,2.79971663887439,default
156,2.9024510008858684,default
157,3.0050609798014776,default
158,3.107521917554749,default
159,3.2098091560792206,default
160,3.311898037308442,default
161,3.4137639031759655,default
162,3.515382095615326,default
163,3.6167279565600694,default
164,3.71777682794373,default
165,3.8185040516998647,default
166,3.9188849697620185,default
167,4.204286359017246,default
168,4.2071306926659275,default
169,4.107137940590732,default
170,4.0221865398339,default
171,4.008694432442539,default
172,3.9870693904808654,default
173,4.138301633065094,default
174,4.565564892952793,default
175,5.039749406044834,default
176,5.178720257943027,default
177,5.055232308571689,default
178,5.03999974555289,default
179,5.388610623543613,default
180,5.830337784951084,default
181,6.185371182625644,default
182,6.548348210518711,default
183,6.467592976754062,default
