,Dia_Spline3_Base,Event
2,-4.960698898416016,default
3,-4.798284824471924,default
4,-4.647952373605225,default
5,-4.759625251870606,default
6,-4.872052009683106,default
7,-4.899760540109131,default
8,-4.894139106851075,default
9,-4.812704380135987,default
10,-4.776994522195313,default
11,-4.791767891030762,default
12,-4.79516249476001,default
13,-4.845326240640137,default
14,-4.871040638070557,default
15,-4.817224796395752,default
16,-4.811747844796631,default
17,-4.874341781716797,default
18,-4.871672447305176,default
19,-4.693316276650879,default
20,-4.468691166024659,default
21,-4.4241798478178715,default
22,-4.505183036904786,default
23,-4.501088436227295,default
24,-4.490964229684327,default
25,-4.485980804543946,default
26,-4.286953743081543,default
27,-4.128063972573731,default
28,-4.143072422128171,default
29,-4.141410167794675,default
30,-4.17747622309253,default
31,-4.138481910806153,default
32,-4.066580112557862,default
33,-4.128747280221436,default
34,-4.1405141907744145,default
35,-4.094146068673584,default
36,-4.0683353501372075,default
37,-4.084819133859131,default
38,-4.0597622948698735,default
39,-3.9283955651335454,default
40,-3.875913436990235,default
41,-3.8860185700468755,default
42,-3.828743274789307,default
43,-3.863952930551026,default
44,-3.9628098565153813,default
45,-3.9198716240935063,default
46,-3.874695594888184,default
47,-3.9132259446196294,default
48,-3.8676446038298344,default
49,-3.694301899056885,default
50,-3.441921051125977,default
51,-3.291483219247315,default
52,-3.2486093598417973,default
53,-3.0781438904814458,default
54,-2.9452741700224614,default
55,-2.9792516785673833,default
56,-2.9534643250517583,default
57,-2.830884273629639,default
58,-2.778426941018555,default
59,-2.69927101908252,default
60,-2.5363534050993657,default
61,-2.4897144394926762,default
62,-2.505019481759522,default
63,-2.4613292771391606,default
64,-2.351000125985596,default
65,-2.2490161019377446,default
66,-2.271948631387204,default
67,-2.340987976174805,default
68,-2.352760131936524,default
69,-2.33483010111377,default
70,-2.3545544701628423,default
71,-2.341276462655518,default
72,-2.2526105004362798,default
73,-2.1748278695158696,default
74,-2.108804996591065,default
75,-2.070236023049805,default
76,-2.0520675736479497,default
77,-2.056493576150391,default
78,-2.0992401200346684,default
79,-2.0814769822172856,default
80,-1.9946792679838872,default
81,-1.929199989419434,default
82,-1.8600881653837895,default
83,-1.7436044770292973,default
84,-1.7061074334196782,default
85,-1.7541916924528813,default
86,-1.6876400071196294,default
87,-1.6553786355070805,default
88,-1.6156771737150883,default
89,-1.3484070855192876,default
90,-1.2185290413908696,default
91,-1.234800632577393,default
92,-1.2090361672453618,default
93,-1.211668308358643,default
94,-1.1610124665312505,default
95,-1.1296828347258305,default
96,-1.1772449570708012,default
97,-0.7541421098056382,default
98,-0.7250062918866647,default
99,-0.6964311849698817,default
100,-0.6684140459718826,default
101,-0.6409521318092892,default
102,-0.6140426993986949,default
103,-0.5876830056567073,default
104,-0.5618703074999267,default
105,-0.5366018618449573,default
106,-0.5118749256084172,default
107,-0.48768675570689624,default
108,-0.464034609057002,default
109,-0.4409157425753456,default
110,-0.4183274131785275,default
111,-0.3962668777831482,default
112,-0.37473139330583294,default
113,-0.3537182166631574,default
114,-0.33322460477173976,default
115,-0.3132478145481912,default
116,-0.2937851029091014,default
117,-0.27483372677108875,default
118,-0.25639094305075005,default
119,-0.2384540086647,default
120,-0.22102018052952488,default
121,-0.20408671556185354,default
122,-0.18765087067826514,default
123,-0.171709902795385,default
124,-0.1562610688298065,default
125,-0.14130162569813365,default
126,-0.1268288303169811,default
127,-0.11283993960294936,default
128,-0.09933221047263885,default
129,-0.08630289984265715,default
130,-0.07374926462960829,default
131,-0.061668561750099826,default
132,-0.05005804812072867,default
133,-0.0389149806581095,default
134,-0.02823661627883922,default
135,-0.01802021189952896,default
136,-0.008263024436779176,default
137,0.0010376891928061127,default
138,0.009884672072612233,default
139,0.01828066728604938,default
140,0.026228417916509983,default
141,0.03373066704737582,default
142,0.04079015776206063,default
143,0.04740963314394264,default
144,0.053591836276428495,default
145,0.05933951024291062,default
146,0.06465539812678855,default
147,0.06954224301144052,default
148,0.07400278798028026,default
149,0.07803977611669666,default
150,0.0816559505040857,default
151,0.08485405422584691,default
152,0.08763683036536918,default
153,0.09000702200604138,default
154,0.09196737223127727,default
155,0.09352062412446216,default
156,0.09466952076898494,default
157,0.09541680524824514,default
158,0.0957652206456423,default
159,0.09571751004456175,default
160,0.09527641652842078,default
161,0.09444468318059407,default
162,0.09322505308448115,default
163,0.0916202693234709,default
164,0.08963307498098416,default
165,0.08726621314038852,default
166,0.0845224268850906,default
167,0.08140445929848283,default
168,0.07791505346396477,default
169,0.07405695246492527,default
170,0.06983289938476744,default
171,0.06524563730688371,default
172,0.060297909314662945,default
173,0.0549924584915118,default
174,0.04933202792081559,default
175,0.04331936068597386,default
176,0.03695719987038615,default
177,0.030248288557434222,default
178,0.023195369830524726,default
179,0.015801186773057196,default
180,0.00806848246841696,default
181,0.0,default
182,-0.008401517548797699,default
183,-0.0171333270945766,default
184,-0.02619268555394072,default
185,-0.03557684984350118,default
186,-0.045283076879861994,default
187,-0.055308623579620075,default
188,-0.06565074685938654,default
189,-0.07630670363576542,default
190,-0.08727375082537137,default
191,-0.09854914534478354,default
192,-0.11013014411063082,default
193,-0.12201400403949947,default
194,-0.1341979820480148,default
195,-0.1466793350527631,default
196,-0.159455319970359,default
197,-0.17252319371740654,default
198,-0.1858802132105133,default
199,-0.19952363536626905,default
200,-0.2134507171012956,default
201,-0.2276587153321863,default
202,-0.24214488697555936,default
203,-0.25690648894800105,default
204,-0.27194077816612605,default
205,-0.2872450115465419,default
206,-0.3028164460058491,default
207,-0.3186523384606552,default
208,-0.33474994582756423,default
209,-0.35110652502317663,default
210,-0.36771933296410353,default
211,-0.3845856265669454,default
212,-0.4017026627483098,default
213,-0.4190676984247901,default
214,-0.43667799051300804,default
215,-0.45453079592956414,default
216,-0.4726233715910553,default
217,-0.4909529744140926,default
218,-0.5095168613152801,default
219,-0.5283122892112111,default
220,-0.5473365150185145,default
221,-0.5665867956537696,default
222,-0.586060388033605,default
223,-0.6057545490746072,default
224,-0.6256665356933802,default
225,-0.645793604806542,default
226,-0.6661330133306897,default
227,-0.6866820181824309,default
228,-0.707437876278366,default
229,-0.7283978445350954,default
230,-0.7495591798692445,default
231,-0.7709191391973995,default
232,-0.7924749794361645,default
233,-0.8142239575021506,default
234,-0.8361633303119689,default
235,-0.8582903547822092,default
236,-0.8806022878294826,default
237,-0.9030963863704038,default
238,-0.9257699073215591,default
239,-0.9486201075995666,default
240,-0.9716442441210305,default
241,-0.9948395738025404,default
242,-1.0182033535607218,default
243,-1.0417328403121715,default
244,-1.0654252909734936,default
245,-1.089277962461285,default
246,-1.1132881116921638,default
247,1.1705300253815913,default
248,1.1503474158234859,default
249,0.8987523955292964,default
250,0.76459616841748,default
251,0.9458691519685054,default
252,1.1207425040192867,default
253,1.0899059218354488,default
254,1.014091674704101,default
255,0.9765393179841304,default
256,0.9000665587373042,default
257,0.8311416548676753,default
258,0.8172890585847163,default
259,0.7297155302949214,default
260,0.5849940222687984,default
261,0.5530850333161617,default
262,0.5916954916901851,default
263,0.5385319632478023,default
264,0.3673912924714351,default
265,0.2083212775178218,default
266,0.1942498129792476,default
267,0.1848990363068843,default
268,0.07240313710644486,default
269,0.0422727507539058,default
270,0.06269807042553666,default
271,-0.04535179911181686,default
272,-0.20812683878466842,default
273,-0.30450754938647506,default
274,-0.3223064499907231,default
275,-0.36476593790576217,default
276,-0.45926266489550827,default
277,-0.5218294220976567,default
278,-0.5497124749235844,default
279,-0.5566032486967778,default
280,-0.7706835824064946,default
281,-1.1567562180571294,default
282,-1.3568275528959965,default
283,-1.363572891335938,default
284,-1.3320744591765141,default
285,-1.3691127854399419,default
286,-1.4674413758330083,default
287,-1.5757563668303227,default
288,-1.7258632737211919,default
289,-1.9488432961516118,default
290,-2.1030381279997563,default
291,-2.0985925751738286,default
292,-2.1128295022062993,default
293,-2.1878183442167973,default
294,-2.2893083649687505,default
295,-2.3998153763823247,default
296,-2.545676048379395,default
297,-2.834493930917237,default
298,-3.0999324875883794,default
299,-3.241802986245606,default
300,-3.2856014329008794,default
301,-3.3243611413054204,default
302,-3.4152896958403325,default
303,-3.4126389580778813,default
304,-3.45277386484668,default
305,-3.603659446816895,default
306,-3.7189281540922856,default
307,-3.846326168160889,default
308,-4.033224399667237,default
309,-4.093947227578614,default
310,-3.9129427033476567,default
311,-3.8320353585295415,default
312,-3.967705543618653,default
313,-4.0556686478667,default
314,-4.136888321023438,default
315,-4.219417389016602,default
316,-4.150474365334961,default
317,-3.9463208275847173,default
318,-3.8089364129118657,default
319,-3.7954595643095708,default
320,-3.8636200982146,default
321,-4.072745617013428,default
322,-4.265936191659424,default
323,-4.286818321328614,default
324,-4.299324806313965,default
325,-4.384733493905518,default
326,-4.420169647317383,default
327,-4.461763675790284,default
328,-4.651327427010987,default
329,-4.735132034402344,default
330,-4.5993669587187505,default
331,-4.642658527474854,default
332,-4.779198940377686,default
333,-4.849777038674805,default
334,-4.879516418557618,default
335,-4.863995369058106,default
336,-4.981952484231446,default
337,-5.153158958535645,default
338,-5.23621588526294,default
339,-5.201405819039795,default
340,-5.212553318124268,default
341,-5.324989612679932,default
342,-5.29734926996753,default
343,-5.2523868638090825,default
344,-5.299845989327881,default
345,-5.312367733102295,default
346,-5.3748491364531255,default
347,-5.44440680323169,default
348,-5.411789234261963,default
349,-5.414435680489991,default
350,-5.490171249490235,default
351,-5.467589195352051,default
352,-5.523242767434571,default
353,-5.7169535714201665,default
354,-5.688931282144043,default
355,-5.58190041361377,default
356,-5.5644667702727055,default
357,-5.540014083962891,default
358,-4.139331178207637,default
359,-4.163468112257739,default
360,-4.187449812543857,default
361,-4.211273535982599,default
362,-4.2349365394905725,default
363,-4.2584360799843815,default
364,-4.281769414380623,default
365,-4.3049337995959185,default
366,-4.327926492546855,default
367,-4.350744750150049,default
368,-4.373385829322093,default
369,-4.395846986979606,default
370,-4.418125480039183,default
371,-4.440218565417435,default
372,-4.4621235000309625,default
373,-4.483837540796372,default
374,-4.505357944630266,default
375,-4.526681968449246,default
376,-4.547806869169932,default
377,-4.56872990370891,default
378,-4.589448328982794,default
379,-4.609959401908188,default
380,-4.630260379401701,default
381,-4.6503485183799285,default
382,-4.6702210757594855,default
383,-4.6898753084569655,default
384,-4.709308473388976,default
385,-4.728517827472128,default
386,-4.7475006276230225,default
