,Dia_Spline3_Base,Event
2,4.290586856095771,default
3,0.8975943596052929,default
4,-0.9259334533524708,default
5,-0.9322453468156056,default
6,-0.8991762130570606,default
7,-0.8402191131425099,default
8,-0.8452740638566212,default
9,-0.8666211097550587,default
10,-0.9784766166520313,default
11,-1.0104046790909962,default
12,-0.9583860366654591,default
13,-1.022890660078545,default
14,-0.7541933982682423,default
15,0.25609817811725577,default
16,1.4124454528975292,default
17,2.1923278839278026,default
18,2.601421740739326,default
19,2.61744108506916,default
20,2.5441054374861523,default
21,2.7561115295576855,default
22,3.2518319160628124,default
23,3.7302869827437206,default
24,3.892113116471748,default
25,3.727433112351875,default
26,3.0809997589278026,default
27,2.0375894577193066,default
28,1.2046612770247265,default
29,0.879340556352119,default
30,0.8181017906355663,default
31,0.7036432296919628,default
32,0.5684818298506542,default
33,0.5999921829390331,default
34,0.6377581627058788,default
35,0.4376081497359081,default
36,0.28339376756427725,default
37,0.20388117143390616,default
38,0.030334857194404208,default
39,0.08689394304035147,default
40,0.19430723497150382,default
41,-0.10197267225505868,default
42,-0.3590565650773243,default
43,-0.3655215232682423,default
44,-0.5134640662980274,default
45,-0.5934530227494434,default
46,-0.671943280012627,default
47,-0.9680400817704395,default
48,-1.2685748069596485,default
49,-1.5115905731034474,default
50,-1.3932038276505665,default
51,-1.1270018546891407,default
52,-1.1269622772050099,default
53,-1.1176510780167774,default
54,-1.1937175720048145,default
55,-1.2758565872025684,default
56,-1.2376314132523731,default
57,-1.3876939742875294,default
58,-1.636214348585625,default
59,-1.8429323165726856,default
60,-1.958017441542168,default
61,-1.927013966352959,default
62,-1.7038422553849415,default
63,-1.5586062400651173,default
64,-1.7472578018021778,default
65,-1.9045840232682423,default
66,-1.9278417556595997,default
67,-1.905831429274098,default
68,-1.7988711326432423,default
69,-1.7666336028886036,default
70,-1.8769756286454395,default
71,-1.9775262801957325,default
72,-1.9672795265031056,default
73,-1.995305153639336,default
74,-2.04558381727459,default
75,-2.0646677940201954,default
76,-2.182781311781426,default
77,-2.1641970603776173,default
78,-1.982691857130547,default
79,-1.876023861677666,default
80,-1.7748499839616017,default
81,-1.685866448195,default
82,-1.6710186927628712,default
83,-1.676971527845879,default
84,-1.6641603439164356,default
85,-1.6361027686906056,default
86,-1.602820965559502,default
87,-1.672044369490166,default
88,-1.7033892600846485,default
89,-1.6190644233536915,default
90,-1.7356453864884571,default
91,-1.818918320448418,default
92,-1.5838814704728321,default
93,-1.5541864364457325,default
94,-1.7849021880936817,default
95,-1.7691808669877247,default
96,-1.6282168357682423,default
97,-1.5682855575394825,default
98,-1.5742379157853321,default
99,-1.5558482139420704,default
100,-1.3455630271744923,default
101,-1.2072106330704884,default
102,-1.2901335685563282,default
103,-1.4374056785416798,default
104,-1.597961518080254,default
105,-1.6234966247391895,default
106,-1.4904867141556934,default
107,-1.370002362043877,default
108,-1.4764848678422169,default
109,-1.7280360191178517,default
110,-1.7961202590775684,default
111,-1.71296605757,default
112,-1.62411746671917,default
113,-1.5116158454728321,default
114,-1.5145460098099903,default
115,-1.5872107475114063,default
116,-1.5577460258317188,default
117,-1.5798612563920216,default
118,-1.592369648726006,default
119,-1.450118157179375,default
120,-1.311490628035088,default
121,-1.3774639098954395,default
122,-1.5208807914567188,default
123,-1.4585753410172657,default
124,-1.4029231994462208,default
125,-1.3263369529557423,default
126,-1.1103173225236134,default
127,-1.0846000640702442,default
128,-1.1733694999528126,default
129,-1.2186690299821095,default
130,-1.3252993552994923,default
131,-1.4994374244523243,default
132,-1.575693222792168,default
133,-1.4874039619279102,default
134,-1.4107752769303517,default
135,-1.4584217994523243,default
136,-1.5129223792863087,default
137,-1.4805332153153614,default
138,-1.4714551894974903,default
139,-1.4326301544022755,default
140,-1.245612713606377,default
141,-1.043811413557549,default
142,-1.0131779640031056,default
143,-1.1209898917985157,default
144,-1.1310053794694142,default
145,-1.0149503677201466,default
146,-1.057633492262383,default
147,-1.1535931556534962,default
148,-1.0581022231888966,default
149,-1.0002008407426075,default
150,-1.0185118644547657,default
151,-0.9583512275529102,default
152,-0.7881804435563282,default
153,-0.7025180785966114,default
154,-0.8442202537369923,default
155,-0.9414001434159474,default
156,-0.9322162597489552,default
157,-0.8965402572465138,default
158,-0.694145771772881,default
159,-0.5489469497513966,default
160,-0.6333533256364063,default
161,-0.5804964034867481,default
162,-0.5758567779374317,default
163,-0.8074627845597462,default
164,-0.9109207122636036,default
165,-0.8702493636918263,default
166,-0.8686152427506642,default
167,-0.9482918708634571,default
168,-1.101191612989922,default
169,-1.2898846595597462,default
170,-1.2361494033646778,default
171,-0.9307247131180958,default
172,-0.687342736036797,default
173,-0.5972705810380177,default
174,-0.6499978034806446,default
175,-0.7369070976090626,default
176,-0.8695164649796681,default
177,-0.9575911491227345,default
178,-0.9015828101945118,default
179,-0.8390942542863087,default
180,-0.8023577659440235,default
181,-0.8500591247391895,default
182,-0.73520145109417,default
183,-0.4966569869828419,default
184,-0.5692687957596974,default
185,-0.6597090690446095,default
186,-0.46782884290935556,default
187,-0.2739249198746876,default
188,-0.30292567899944345,default
189,-0.4126897781205372,default
190,-0.3371711700272755,default
191,-0.24985370329143564,default
192,-0.35637817075969735,default
193,-0.5065060584855274,default
194,-0.5279761283707813,default
195,-0.4346919982743458,default
196,-0.35822686842205087,default
197,-0.16140947035075826,default
198,0.02873554536579448,default
199,0.01064529725788077,default
200,0.07976761171100222,default
201,0.14735689470050772,default
202,0.06079616853473624,default
203,-0.028011891157646573,default
204,-0.13642368009807626,default
205,-0.1518259971451954,default
206,-0.0841842620682911,default
207,-0.14519986799480478,default
208,-0.2804413764786915,default
209,-0.29256448438884775,default
210,-0.1540213554215626,default
211,-0.09790334394695321,default
212,-0.07421264341594735,default
213,0.011773493974189364,default
214,0.009899523942451083,default
215,0.20981731721637686,default
216,-0.09941752110242419,default
217,-0.09941752110242419,default
218,-0.29616937330486337,default
219,-0.23122415235759775,default
220,-0.0881814433134025,default
221,-0.11736657293960917,default
222,-0.1117495800869257,default
223,-0.10627207114444204,default
224,-0.10093169825789161,default
225,-0.09572611357301142,default
