,Dia_Spline3_Base,Event
159,2.2013032513689694,default
160,1.4639618474077878,default
161,1.7838490086626706,default
162,1.4639618474077878,default
163,1.3544423657488522,default
164,1.4091665822100339,default
165,1.7087185460161862,default
166,1.6755607205462155,default
167,1.3993241864275632,default
168,1.3652532177996335,default
169,1.4143230992388425,default
170,-3.180879346745046,default
171,-9.93592762173894,default
172,-8.370161764042408,default
173,-3.4764618796277347,default
174,-2.085304490940601,default
175,-1.8193597716260257,default
176,-1.793314926044971,default
177,-1.840354196445972,default
178,-1.8372957629132571,default
179,-1.8580372256207767,default
180,-1.8790841025281253,default
181,-1.9676139277386966,default
182,-2.010630123035938,default
183,-1.9583890010948775,default
184,-1.8654510266034858,default
185,-1.7742367850199692,default
186,-1.6847416690300108,default
187,-1.5969610713192885,default
188,-1.510890384573477,default
189,-1.4265250014782644,default
190,-1.3438603147193273,default
191,-1.2628917169823506,default
192,-1.1836146009530104,default
193,-1.1060243593169865,default
194,-1.030116384759964,default
195,-0.9558860699676188,default
196,-0.8833288076256309,default
197,-0.8124399904196871,default
198,-0.7432150110354527,default
199,-0.6756492621586219,default
200,-0.6097381364748777,default
201,-0.5454770266698858,default
202,-0.4828613254293401,default
203,-0.42188642543890964,default
204,-0.36254771938428476,default
205,-0.30484059995114166,default
206,-0.24876045982515294,default
207,-0.19430269169201253,default
208,-0.14146268823740016,default
209,-0.09023584214698133,default
210,-0.04061754610644641,default
211,0.007396807198517763,default
212,0.05381182508224214,default
213,0.09863211485904344,default
214,0.1418622838432455,default
215,0.1835069393491544,default
216,0.22357068869110464,default
217,0.26205813918340937,default
218,0.2989738981403818,default
219,0.33432257287635636,default
220,0.3681087707056392,default
221,0.40033709894255765,default
222,0.431012164901432,default
223,0.460138575896579,default
224,0.48772093924231186,default
225,0.513763862252965,default
226,0.5382719522428481,default
227,0.5612498165262814,default
228,0.5827020624175852,default
229,0.6026332972310797,default
230,0.6210481282810854,default
231,0.6379511628819259,default
232,0.6533470083479145,default
233,0.6672402719933714,default
234,0.679635561132617,default
235,0.6905374830799751,default
236,0.6999506451497588,default
237,0.707879654656292,default
238,0.714329118913895,default
239,0.719303645236888,default
240,0.7228078409395842,default
241,0.724846313336311,default
242,0.7254236697413781,default
243,0.7245445174691199,default
244,0.722213463833846,default
245,0.7184351161498803,default
246,0.7132140817315396,default
247,0.7065549678931333,default
248,0.6984623819490068,default
249,0.6889409312134589,default
250,0.6779952230008206,default
251,0.6656298646254015,default
252,0.651849463401529,default
253,0.6366586266435164,default
254,0.6200619616656908,default
255,0.6020640757823692,default
256,0.5826695763078682,default
257,0.5618830705565081,default
258,0.5397091658426163,default
259,0.5161524694804989,default
260,0.49121758878448674,default
261,0.46490913106889664,default
262,0.4372317036480453,default
263,0.408189913836253,default
264,0.3777883689478472,default
265,0.34603167629713383,default
266,0.3129244431984439,default
267,0.2784712769660942,default
268,0.24267678491440492,default
269,0.20554557435769283,default
270,0.1670822526102782,default
271,0.12729142698648133,default
272,0.08617770480062248,default
273,0.04374569336702194,default
274,0.0,default
275,-0.04505476798612662,default
276,-0.09141400327703408,default
277,-0.1390730985584092,default
278,-0.050019971745044245,default
279,-0.14720749081853057,default
280,-0.19932340802434112,default
281,-0.3260295313763919,default
282,-0.4091412943768802,default
283,-0.3961565417218509,default
284,-0.528375379459888,default
285,-0.5840890330243411,default
286,-0.5434405726361575,default
287,-0.696778528111011,default
288,-0.79357790173772,default
289,-0.7958109301495853,default
290,-0.7973968905377689,default
291,-0.9140252989697757,default
292,-1.039509527103931,default
293,-0.9994623583722415,default
294,-1.2072071951794925,default
295,-1.45926713170293,default
296,-1.403131238834888,default
297,-1.4353833121228519,default
298,-1.5712799948621097,default
299,-1.3716998022961917,default
300,-1.2762303275037112,default
301,-1.6464211863446536,default
302,-1.932440034763843,default
303,-2.0072462481427493,default
304,-1.9332079810071292,default
305,-1.7240245264935794,default
306,-1.6688611430096927,default
307,-1.8198473376202884,default
308,-1.8764972609448733,sitting
309,-1.7918472212720218,sitting
310,-1.713049165623218,sitting
311,-1.5891890448499026,sitting
312,-1.4860157889294925,sitting
313,-1.5746300143170657,sitting
314,-1.758769027607471,sitting
315,-1.9076824110913577,sitting
316,-1.949731342213184,sitting
317,-1.8885152262616458,sitting
318,-1.761632911579639,sitting
319,-1.5496289652753177,sitting
320,-1.3920223635602298,sitting
321,-1.363416187183887,sitting
322,-1.414643279926807,sitting
323,-1.2386801165509524,sitting
324,-1.0155243796277347,sitting
325,-1.171094171421558,sitting
326,-1.2601747435498538,sitting
327,-1.1585991305280032,sitting
328,-1.0177948397565189,sitting
329,-0.845643274204761,sitting
330,-0.7819573801923099,sitting
331,-0.8059122485089603,sitting
332,-0.8645932597089114,sitting
333,-0.8827707690167728,sitting
334,-0.8184211176801028,sitting
335,-0.7027065676617923,sitting
336,-0.5887358111310306,sitting
337,-0.65602325619939,sitting
338,-0.87872194470647,sitting
339,-1.0324032229352298,sitting
340,-1.2147548121381107,sitting
341,-1.3566076678204837,sitting
342,-1.2147748392987552,sitting
343,-1.1992819231915774,sitting
344,-1.4269931239056888,sitting
345,-1.2982909602093997,sitting
346,-0.9429423731732669,sitting
347,-0.8240878504681888,sitting
348,-1.0676383894849124,sitting
349,-1.5950848978925052,sitting
350,-1.9498414915967288,sitting
351,-2.03436421574834,sitting
352,-2.0216951292920413,sitting
353,-1.9596705359387698,sitting
354,-1.9013578814435306,sitting
355,-1.9243917387891116,sitting
356,-2.0861725729871097,sitting
357,-2.1409306448865237,sitting
358,-2.0717348975110355,sitting
359,-2.0485746783185306,sitting
360,-1.8151540678906741,sitting
361,-1.43074511708501,sitting
362,-1.3188068789410892,sitting
363,-1.3280053061414065,sitting
364,-1.2182490748334232,sitting
365,-1.092967264072925,sitting
366,-1.1310732287335696,sitting
367,-1.2369978350568118,sitting
368,-1.2823843878674808,sitting
369,-1.345931760685474,sitting
370,-1.3779923838544192,sitting
371,-1.4126803797650638,sitting
372,-1.363307945148975,sitting
373,-1.2691154402661624,sitting
374,-1.4088318270612064,sitting
375,-1.578421823399097,sitting
376,-1.5198945921826645,sitting
377,-1.5017082613873782,sitting
378,-1.6584989947247806,sitting
379,-1.6942675036359134,sitting
380,-1.4835104865002933,sitting
381,-1.2519216460156741,sitting
382,-1.406581870930225,sitting
383,-1.8686034602093997,sitting
384,-2.0902597826886478,sitting
385,-2.1714382094312015,sitting
386,-2.23931764783147,sitting
387,-1.9873771590161624,sitting
388,-1.5366473120618167,sitting
389,-1.3500690382886233,sitting
390,-1.5531570834088626,sitting
391,-1.695945016758472,sitting
392,-1.7845933360028567,sitting
393,-1.9548334998059573,sitting
394,-1.8410577696729007,sitting
395,-1.759177438633472,sitting
396,-1.9362764281201663,sitting
397,-1.8105673712659183,sitting
398,-1.6114799899030032,sitting
399,-1.8415880125928226,sitting
400,-1.9336554926801028,sitting
401,-1.6348493021893802,sitting
402,-1.608810417072803,sitting
403,-1.950565091984302,sitting
404,-2.0191104334760013,sitting
405,-1.795784704105884,sitting
406,-1.960653774158983,sitting
407,-2.3630962294507327,sitting
408,-2.466170780079395,sitting
409,-2.4516370219159427,sitting
410,-2.5152096671033206,sitting
411,-2.5499098223614993,sitting
412,-2.513627998249561,sitting
413,-2.310425512211353,sitting
414,-2.0290341299939456,sitting
415,-2.226715795414478,sitting
416,-2.6136023920941653,sitting
417,-2.554860107319385,sitting
418,-2.3277192038464847,sitting
419,-2.2077782076764407,sitting
420,-2.1473462504315677,sitting
