,Dia_Spline3_Base,Event
2,-3.3230327594824374,default
3,-3.2738250721045077,default
4,-3.2754701603003085,default
5,-3.330787562186295,default
6,-3.346190356070572,default
7,-3.2354244220800936,default
8,-3.1899384487219393,default
9,-3.380125426108414,default
10,-3.6102651584692538,default
11,-3.6910184848852694,default
12,-3.5821842182226717,default
13,-3.2924851406164706,default
14,-2.834032439047867,default
15,-2.6142858493872225,default
16,-2.9234031665869296,default
17,-3.24010648613649,default
18,-3.067546271140152,default
19,-2.745156191641861,default
20,-2.6924947727270663,default
21,-2.6125349033423007,default
22,-2.4993819225378573,default
23,-2.643896006400162,default
24,-2.830607794577652,default
25,-2.703775786215836,default
26,-2.427470110709244,default
27,-2.4302252758093417,default
28,-2.4997409809179842,default
29,-2.4763716686316073,default
30,-2.4369248378820956,default
31,-2.360929869467789,default
32,-2.457178019339615,default
33,-2.5542906749792635,default
34,-2.3848542202063143,default
35,-2.259304426962906,default
36,-2.3314670551367342,default
37,-2.3082598674841464,default
38,-2.195299528891617,default
39,-2.073172472769791,default
40,-1.9454268444128573,default
41,-1.9413880336828768,default
42,-1.9476241100378573,default
43,-1.6897601116247714,default
44,-1.4115551937170565,default
45,-1.6284388530798495,default
46,-2.031892203146988,default
47,-2.1257256496496737,default
48,-2.0077694881506503,default
49,-1.9124793041296542,default
50,-1.8399323452063108,default
51,-1.7986721027441561,default
52,-1.9211896884985507,default
53,-2.104992770011002,default
54,-2.1477078426428378,default
55,-2.077462099844986,default
56,-1.9897178638525546,default
57,-1.8406561840124667,default
58,-1.6939438808508456,default
59,-1.6658424366064608,default
60,-1.693628214652115,default
61,-1.6878656375952303,default
62,-1.7027062404699862,default
63,-1.8054775226660311,default
64,-1.8482388485022128,default
65,-1.7359293926306307,default
66,-1.6416157711096346,default
67,-1.6754130352087557,default
68,-1.6701148975439608,default
69,-1.6397990215368807,default
70,-1.674575709158951,default
71,-1.503923796469742,default
72,-1.3129157054968417,default
73,-1.4607771862097323,default
74,-1.5944823253698885,default
75,-1.4143799770422518,default
76,-1.2008999813147128,default
77,-0.9273394573278964,default
78,-0.6904009807653964,default
79,-0.8698142993994296,default
80,-1.0562008846350253,default
81,-1.0423449504919589,default
82,-1.0528635013647616,default
83,-1.011409663016373,default
84,-0.8666447628088534,default
85,-0.8348039615698397,default
86,-0.986697577292496,default
87,-1.1038936603613436,default
88,-1.0598677623816073,default
89,-1.0051034915991366,default
90,-1.103488348776871,default
91,-1.1951297748632967,default
92,-1.108559035117203,default
93,-0.9653262126989901,default
94,-1.0761064518042147,default
95,-1.2797712314673007,default
96,-1.2937621105261385,default
97,-1.3488563526220858,default
98,-1.4490384090490878,default
99,-1.4928182590551913,default
100,-1.4607185352392733,default
101,-1.357526205832535,default
102,-1.3597058284826815,default
103,-1.429819964224869,default
104,-1.4684514034338534,default
105,-1.4285487163610995,default
106,-1.3807019222326815,default
107,-1.4886011112280428,default
108,-1.5040520656652987,default
109,-1.4180878627844393,default
110,-1.517323397452408,default
111,-1.6445516574926913,default
112,-1.6004222858496249,default
113,-1.5355948436804354,default
114,-1.58483304863649,default
115,-1.6411313045569003,default
116,-1.6486200321264803,default
117,-1.5870222080298007,default
118,-1.5695804584570467,default
119,-1.6322940815039217,default
120,-1.5958737361975253,default
121,-1.4877771366186678,default
122,-1.386259459311539,default
123,-1.38555326348024,default
124,-1.4929179427372503,default
125,-1.5020417835659607,default
126,-1.5112459893427719,default
127,-1.52052110039007,default
128,-1.5298576570302664,default
129,-1.539246199585751,default
130,-1.5486772683789418,default
131,-1.5581414037322254,default
132,-1.5676291459680094,default
133,-1.5771310354086978,default
134,-1.5866376123766734,default
135,-1.5961394171943653,default
136,-1.6056269901841524,default
137,-1.6150908716684498,default
138,-1.6245216019696507,default
139,-1.6339097214101521,default
140,-1.6432457703123653,default
141,-1.65252028899868,default
142,-1.6617238177915148,default
143,-1.6708468970132522,default
144,-1.679880066986307,default
145,-1.688813868033069,default
146,-1.6976388404759462,default
147,-1.7063455246373387,default
148,-1.7149244608396472,default
149,-1.7233661894052759,default
150,-1.7316612506566145,default
151,-1.7398001849160778,default
152,-1.7477735325060628,default
153,-1.7555718337489594,default
154,-1.763185628967186,default
155,-1.7706054584831286,default
156,-1.7778218626192093,default
157,-1.7848253816977966,default
158,-1.7916065560413266,default
159,-1.7981559259721749,default
160,-1.8044640318127598,default
161,-1.8105214138854642,default
162,-1.8163186125127027,default
163,-1.8218461680168758,default
164,-1.8270946207203735,default
165,-1.8320545109456141,default
166,-1.8367163790149839,default
167,-1.841070765250894,default
168,-1.8451082099757343,default
169,-1.8488192535119161,default
170,-1.8521944361818399,default
171,-1.8552242983079026,default
172,-1.8578993802125048,default
173,-1.860210222218047,default
174,-1.8621473646469333,default
175,-1.8637013478215678,default
176,-1.864862712064344,default
177,-1.8656219976976658,default
178,-1.8659697450439374,default
179,-1.8658964944255594,default
180,-1.865392786164918,default
181,-1.8644491605844493,default
182,-1.8630561580065113,default
183,-1.8612043187535399,default
184,-1.8588841831479215,default
185,-1.8560862915120495,default
186,-1.8528011841683423,default
187,-1.8490194014391825,default
188,-1.844731483646985,default
189,-0.9478601444311678,default
190,-1.0719346035070956,default
191,-1.1316498745031893,default
192,-1.2093090045996249,default
193,-1.1828912723608553,default
194,-1.0678190219946444,default
195,-1.1273240078039706,default
196,-1.2171701419897616,default
197,-1.181848429495865,default
198,-1.1459459293432772,default
199,-1.1135372150488436,default
200,-0.9893535602636874,default
201,-0.934453867728287,default
202,-1.0961965549536288,default
203,-1.2645377147741854,default
204,-1.2547487247534335,default
205,-1.1543873775549471,default
206,-1.0819348323889315,default
207,-1.1127718914099276,default
208,-1.1501249301977694,default
209,-1.02936973458009,default
210,-0.9790615070410276,default
211,-1.087614439780289,default
212,-1.1099318492956698,default
213,-1.0828613269873202,default
214,-1.0464633930273592,default
215,-1.0415362346716464,default
216,-1.138039015585953,default
217,-1.2697118747778475,default
218,-1.3232916820593417,default
219,-1.2108673084326327,default
220,-1.1141098964758456,default
221,-1.1903447139807248,default
222,-1.2744158733435214,default
223,-1.2234782207556307,default
224,-1.2263916957922518,default
225,-1.3246239650793612,default
226,-1.3534525859900057,default
227,-1.3771413791723788,default
228,-1.4020847309179842,default
229,-1.4497069347448885,default
230,-1.528488062674576,default
231,-1.5305127132483065,default
232,-1.5244983661718905,default
233,-1.563939951712662,default
234,-1.6015051830359042,default
235,-1.596943758780533,default
236,-1.5902446735449374,default
237,-1.6659144390173495,default
238,-1.655239008719498,default
239,-1.4676560390539706,default
240,-1.2988585460730135,default
241,-1.345786474997574,default
242,-1.4629844654150546,default
243,-1.4078763950415194,default
244,-1.3233732212133944,default
245,-1.24191369896608,default
246,-1.1206969249792635,default
247,-1.131890677268082,default
248,-1.3656395900793612,default
249,-1.6250442493506014,default
250,-1.7042392719336092,default
251,-0.20683503445075146,default
252,-0.16033447160215886,default
253,-0.11365089677109808,default
254,-0.06681748674019161,default
255,-0.019867418292022876,default
256,0.027166131790767878,default
257,0.07424998672559369,default
258,0.12135096972987114,default
259,0.16843590402094932,default
260,0.2154716128162555,default
261,0.2624249193331636,default
262,0.3092626467890831,default
263,0.3559516184014022,default
264,0.4024586573875055,default
265,0.4487505869648025,default
266,0.4947942303506778,default
267,0.5405564107625231,default
268,0.5860039514177302,default
269,0.6311036755337049,default
270,0.6758224063278284,default
271,0.7201269670175101,default
272,0.7639841808201311,default
273,0.8073608709530831,default
274,0.8502238606337649,default
275,0.8925399730795789,default
276,0.9342760315078955,default
277,0.9753988591361384,default
278,1.015875279181678,default
279,1.0556721148619204,default
280,1.0947561893942535,default
281,1.133094325996069,default
282,1.1706533478847732,default
283,1.2074000782777503,default
284,1.2433013403923816,default
285,1.2783239574460872,default
286,1.312434752656248,default
287,1.3456005492402525,default
288,1.37778817041551,default
289,1.4089644393993943,default
290,1.4390961794093116,default
291,1.4681502136626463,default
292,1.4960933653768151,default
293,1.522892457769185,default
294,1.548514314057165,default
295,1.5729257574581403,default
296,0.5640350353173673,default
297,0.7073665630273283,default
298,0.8030258190087736,default
299,0.7578488361291349,default
300,0.7301341068200529,default
301,0.9288655292443693,default
302,1.3432894718102872,default
303,1.7847615253381193,default
304,1.2050391208581388,default
305,-0.29119720345216393,default
306,-0.4559082019873202,default
307,0.6220656406335294,default
308,1.362953759377426,default
309,1.6498995792321622,default
310,1.772187806313461,default
311,1.789383031075424,default
312,1.824128724282211,default
313,2.031312085335678,default
314,2.2162586223535,default
315,2.1477032672814786,default
316,1.9438282024316287,default
317,1.9110795032433927,default
318,1.9995499622277677,default
319,1.9074793826989591,default
320,1.676007844155258,default
321,1.5730296146325529,default
322,1.6941228877953947,default
323,1.8674632083825529,default
324,1.8806100856713712,default
325,1.7047034274987638,default
326,1.6287075054101408,default
327,2.0063711177758634,default
328,1.7710271846703947,default
329,0.8704944621972501,default
330,1.052808381264633,default
331,1.835352040474838,default
332,2.2844573032311857,default
333,2.4588929187707365,default
334,2.5284963619164884,default
335,2.7575961124352872,default
336,2.8606096279076993,default
337,2.6792856227807462,default
338,2.5923815738610685,default
339,2.6311999332360685,default
340,2.494733430092758,default
341,2.3773218166284025,default
342,2.379541493599838,default
343,2.2859598171166837,default
344,2.2107096683434904,default
345,2.254811860268539,default
346,2.2848225604943693,default
