,Dia_Spline3_Base,Event
2,-9.439841747283936,default
3,-10.08088207244873,default
4,-3.5698938369750977,default
5,4.248611927032471,default
6,5.4575300216674805,default
7,6.830911636352539,default
8,8.352526187896729,default
9,0.9083094596862793,default
10,2.039123296737671,default
11,2.0407614707946777,default
12,1.8926916122436523,default
13,2.0407614707946777,default
14,2.0967307090759277,default
15,2.289947509765625,default
16,2.349402904510498,default
17,2.037485122680664,default
18,1.7699556350708008,default
19,2.088191509246826,default
20,2.5448546409606934,default
21,2.637263774871826,default
22,3.094344139099121,default
23,2.277679204940796,default
24,3.220902919769287,default
25,2.694601535797119,default
26,2.351822853088379,default
27,2.2947821617126465,default
28,2.265410900115967,default
29,2.0795955657958984,default
30,1.989649772644043,default
31,1.9807953834533691,default
32,1.9187850952148438,default
33,1.812234878540039,default
34,1.691927433013916,default
35,1.5612506866455078,default
36,1.4438533782958984,default
37,1.275346279144287,default
38,1.0694093704223633,default
39,0.9479856491088867,default
40,0.8835301399230957,default
41,0.7621469497680664,default
42,0.5384063720703125,default
43,0.37128448486328125,default
44,0.33751964569091797,default
45,0.31342077255249023,default
46,0.19660425186157227,default
47,0.13281774520874023,default
48,0.14073896408081055,default
49,-0.007331371307373047,default
50,-0.11230182647705078,default
51,-0.07480716705322266,default
52,-0.05101919174194336,default
53,-0.08566188812256215,default
54,-0.23064756393432617,default
55,-0.3369569778442383,default
56,-0.37457895278930664,default
57,-0.4580397605895996,default
58,-0.4999418258666992,default
59,-0.4771285057067871,default
60,-0.4386725425720215,default
61,-0.44783830642700195,default
62,-0.5076470375061035,default
63,-0.5823616981506348,default
64,-0.636591911315918,default
65,-0.6579799652099609,default
66,-0.7247776985168457,default
67,-0.5835051536560059,default
68,-0.35607433319091797,default
69,-0.1893453598022461,default
70,-0.1384134292602539,default
71,-0.5464482307434082,default
72,-0.8375334739685059,default
73,-0.7759537696838379,default
74,-0.7523913383483887,default
75,-0.8115458488464355,default
76,-0.8957409858703613,default
77,-0.8678326606750488,default
78,-0.7880783081054688,default
79,-0.811394214630127,default
80,-0.787470817565918,default
81,-0.6413335800170898,default
82,-0.6500296592712438,default
83,-0.8026981353759766,default
84,-0.8569412231445312,default
85,-0.7702865600585938,default
86,-0.5862154960632324,default
87,-0.5261063575744629,default
88,-0.746345043182373,default
89,-0.9934415817260742,default
90,-1.0947070121765137,default
91,-1.0564117431640625,default
92,-1.0032024383544922,default
93,-1.021496295928955,default
94,-1.0429396629333496,default
95,-1.038485050201416,default
96,-1.0427732467651367,default
97,-1.1789069175720215,default
98,-1.352806568145752,default
99,-1.3043551445007324,default
100,-1.0348973274230957,default
101,-0.8031420707702637,default
102,-0.7539877891540527,default
103,-0.8142509460449219,default
104,-0.8838667869567871,default
105,-0.8672780990600586,default
106,-0.7759885787963867,default
107,-0.7343888282775879,default
108,-0.7490048408508301,default
109,-0.7707695960998535,default
110,-0.7988710403442383,default
111,-0.8247437477111816,default
112,-0.796320915222168,default
113,-0.7420125007629395,default
114,-0.6941432952880859,default
115,-0.6957478523254395,default
116,-0.8239984512329102,default
117,-0.9064264297485352,default
118,-0.858945369720459,default
119,-0.7747097015380859,default
120,-0.6897969245910645,default
121,-0.7170925140380859,default
122,-0.7896380424499512,default
123,-0.7469377517700195,default
124,-0.6986937522888184,default
125,-0.672020435333252,default
126,-0.6991190910339355,default
127,-0.8906550407409668,default
128,-0.9521112442016602,default
129,-0.7714672088623047,default
130,-0.6820731163024902,default
131,-0.7481684684753418,default
132,-0.7413134574890137,default
133,-0.6980767250061035,default
134,-0.7824983596801758,default
135,-0.8051958084106445,default
136,-0.7825398445129395,default
137,-0.8261394500732422,default
138,-0.8667187690734863,default
139,-0.8851017951965332,default
140,-0.8349308967590332,default
141,-0.8130698204040527,default
142,-0.8844547271728516,default
143,-0.9018979072570801,default
144,-0.8034567832946777,default
145,-0.7822871208190918,default
146,-0.9026412963867188,default
147,-0.994290828704834,default
148,-1.0129656791687012,default
149,-0.9868049621582031,default
150,-1.0103578567504883,default
151,-1.0866665840148926,default
152,-1.0111083984375,default
153,-0.9505715370178223,default
154,-1.0068607330322266,default
155,-0.9770469665527344,default
156,-0.965059757232666,default
157,-1.0479178428649902,default
158,-1.1352477073669434,default
159,-1.1914634704589844,default
160,-1.2193198204040527,default
161,-1.1910810470581055,default
162,-1.0848398208618164,default
163,-1.0233855247497559,default
164,-1.0972790718078613,default
165,-1.2161345481872559,default
166,-1.3123278617858887,default
167,-1.3837499618530273,default
168,-1.3498167991638184,default
169,-1.2041759490966797,default
170,-1.05023193359375,default
171,-0.9794116020202637,default
172,-0.9312362670898438,default
173,-0.8528895378112793,default
174,-0.8855185508728027,default
175,-1.0159544944763184,default
176,-1.1936473846435547,default
177,-1.283942699432373,default
178,-1.2479643821716309,default
179,-1.1910614967346227,default
180,-1.1469745635986328,default
181,-1.2110271453857422,default
182,-1.3054842948913574,default
183,-1.26466703414917,default
184,-1.0213093757629395,default
185,-0.7981886863708496,default
186,-0.6731700897216797,default
187,-0.6005849838256836,default
188,-0.6554350852966309,default
189,-0.6238293647766113,default
190,-0.5191540718078613,default
191,-0.47366762161254883,default
192,-0.4246940612792969,default
193,-0.39103126525878906,default
194,-0.3094296455383301,default
195,-0.30246925354003906,default
196,-0.3713188171386719,default
197,-0.37433767318725586,default
198,-0.42232656478881836,default
199,-0.470733642578125,default
200,-0.47553396224975586,default
201,-0.4694094657897949,default
202,-0.590609073638916,default
203,-0.8058876991271973,default
204,-0.8410830497741699,default
205,-0.7736601829528809,default
206,-1.425553321838379,default
207,-0.6821346282958984,default
208,-0.6821346282958984,default
209,-0.6821346282958984,default
210,-0.6821346282958984,default
211,-0.6821346282958984,default
212,-1.8776369094848633,default
213,-0.21625185012817383,default
214,0.6798086166381836,default
215,2.042634963989258,default
216,3.50604248046875,default
217,2.9503369331359863,default
218,1.133878231048584,default
219,0.5207209587097168,default
220,-0.14660120010375977,default
221,-0.48460578918457387,default
222,0.6945962905883754,default
223,2.542954921722412,default
224,2.6884226799011266,default
225,0.5084528923034668,default
226,-0.8601012229919434,default
227,-0.8958544731140137,default
228,-0.8770122528076172,default
229,-0.7553257942199707,default
230,-0.7466988563537598,default
231,-1.061038494110111,default
232,-1.305312156677246,default
233,-1.210646152496338,default
234,-0.7589044570922852,default
235,0.5022435188293457,default
236,2.665928363800049,default
237,4.623405933380127,default
238,6.010897636413574,default
239,0.5002679824829102,default
240,5.231109142303467,default
241,1.530195713043213,default
242,0.6444277763366699,default
243,2.260849952697754,default
244,2.279411792755127,default
245,0.2122049331665039,default
246,-0.5447831153869629,default
247,0.12300777435302734,default
248,0.4982924461364746,default
249,1.0705323219299316,default
250,1.7801284790039062,default
251,2.4764790534973145,default
252,3.3142242431640625,default
253,4.005954265594482,default
254,4.291014671325684,default
255,4.8340582847595215,default
256,6.246789932250977,default
257,7.1345319747924805,default
258,6.904998302459717,default
259,6.530406951904297,default
260,6.453405857086182,default
261,6.509464263916016,default
262,6.298383712768555,default
263,5.837242603302002,default
264,5.561417102813721,default
265,6.885442793013464,default
266,7.0028872265945665,default
267,7.099853086818332,default
268,7.176983002371728,default
269,7.234919601941723,default
270,7.274305514215303,default
271,7.2957833678794515,default
272,7.299995791621143,default
273,7.287585414127349,default
274,7.259194864085057,default
275,7.215466770181241,default
276,7.157043761102891,default
277,7.0845684655369645,default
278,6.998683512170452,default
279,6.900031529690331,default
280,6.789255146783585,default
281,6.666996992137182,default
282,6.533899694438105,default
283,6.390605882373343,default
284,6.237758184629868,default
285,6.075999229894634,default
286,5.905971646854667,default
287,5.728318064196905,default
288,5.543681110608343,default
289,5.352703414775959,default
290,5.156027605386733,default
