,Dia_Spline3_Base,Event
105,-0.4123647212982178,default
106,-0.30626940727233887,default
107,-0.28302693367004395,default
108,-0.4439432621002197,default
109,-0.6584923267364502,default
110,-0.4590585231781006,default
111,-0.12924408912658691,default
112,-0.0679013729095459,default
113,-0.002753019332885742,default
114,0.002753019332889295,default
115,-0.14177155494689941,default
116,-0.1856834888458252,default
117,-0.1231834888458252,default
118,-0.2644951343536377,default
119,-0.6012356281280518,default
120,-0.8347046375274658,default
121,-1.0099799633026123,default
122,-1.166896104812622,default
123,-1.3828828334808314,default
124,-1.6799571514129639,default
125,-1.688629388809204,default
126,-1.4567553997039795,default
127,-1.0966284275054932,default
128,-1.3654849529266357,default
129,-2.6140873432159424,default
130,-3.4344985485076904,default
131,-3.5774686336517334,default
132,-3.4254910945892334,default
133,-2.9804623126983643,default
134,-2.7278249263763428,default
135,-2.881788492202759,default
136,-3.271047830581665,default
137,-3.529522657394409,default
138,-3.2208917140960693,default
139,-2.557295083999634,default
140,-2.131908655166626,default
141,-1.9990227222442627,default
142,-1.8660290241241455,default
143,-1.7752697467803955,default
144,-2.0975863933563232,default
145,-2.4310591220855713,default
146,-1.8559658527374268,default
147,-0.41332364082336426,default
148,1.2521555423736572,default
149,2.4811651706695557,default
150,2.985222578048706,default
151,3.1847684383392334,default
152,3.443622350692749,default
153,2.529102087020874,default
154,0.3792712688446045,default
155,-0.6336939334869385,default
156,-0.5788896083831787,default
157,-0.5794756412506104,default
158,-0.5936863422393799,default
159,-0.6688745021820068,default
160,-0.6239449977874756,default
161,-0.3201463222503662,default
162,-0.03686022758483887,default
163,0.06711792945861816,default
164,-0.015573263168334961,default
165,-0.23924565315246582,default
166,-0.15834641456604004,default
167,0.2666118144989049,default
168,0.6725022792816198,default
169,-0.24780515940610215,default
170,-0.24780515940610215,default
171,-0.19689130536009358,default
172,-0.2563646656597385,default
173,-0.31640254272098645,default
174,-0.3765522358853097,default
175,-0.43636104449415924,default
176,-0.49537626788901434,default
177,-0.5531452054113544,default
178,-0.6092151564026231,default
179,-0.6631334202042964,default
180,-0.714447296157843,default
181,-0.7627040836047243,default
182,-0.8074510818864127,default
183,-0.8482355903443732,default
184,-0.8846049083200676,default
185,-0.9161063351549714,default
186,-0.94228717019055,default
187,-0.9626947127682648,default
188,-0.976876262229581,default
189,-0.9843791179159744,default
190,-0.9847505791689066,default
191,-0.9775379453298463,default
192,-0.9622885157402514,default
193,-0.9385495897416085,default
194,-0.9058684666753649,default
195,-0.8637924458829929,default
196,-0.811868826705961,default
197,-0.7496449084857382,default
198,-0.6766679905637929,default
199,-0.5924853722815868,default
200,-0.4966443529805815,default
201,-0.3886922320022528,default
202,-0.2681763086880693,default
203,-0.13464388237949265,default
204,0.012357747582015577,default
205,0.17328128185497604,default
206,0.34857942109792717,default
207,0.5387048659694074,default
208,0.744110317127948,default
209,0.9652484752320731,default
210,1.2025720409403249,default
211,1.2328269481658936,default
212,1.2590773105621373,default
213,1.465831995010376,default
214,1.8614614009857178,default
215,2.4514005184173584,default
216,3.2516090869903564,default
217,-4.387052774429321,default
218,-14.608298063278198,default
219,-10.312901735305786,default
220,-3.392282247543335,default
221,-3.776892900466919,default
222,-5.736769437789917,default
223,-7.099772214889526,default
224,-7.64568305015564,default
225,-8.04459547996521,default
226,-7.622819185256958,default
227,-6.525442361831665,default
228,-5.733111619949341,default
229,-4.963629961013794,default
230,-3.793423891067505,default
231,-2.5936458110809326,default
232,-1.802337408065796,default
233,-1.9651095867156982,default
234,-2.061556100845337,default
235,-1.0009243488311768,default
236,0.04204916954040527,default
237,0.26418232917785645,default
238,0.3019130229949951,default
239,0.42171645164489746,default
240,0.2529013156890869,default
241,-0.017282724380493164,default
242,0.07097125053405762,default
243,0.25847077369690297,default
244,0.2007458209991455,default
245,0.1729447841644287,default
246,0.3416588306427002,default
247,0.6416356563568115,default
248,0.9029891490936279,default
249,0.711322546005249,default
250,0.4925405979156494,default
251,0.7089030742645264,default
252,0.9172008037567139,default
253,0.913743257522583,default
254,0.694080114364624,default
255,0.15963777317312378,default
256,0.02965084187063738,default
257,-0.11168207456179147,default
258,-0.2639347620002006,default
259,-0.42668100632059236,default
260,-0.5994945933990046,default
261,-0.7819493091114467,default
262,-0.9736189393339352,default
