,Dia_Spline3_Base,Event
32,-4.078275024833939,default
33,-4.016882240715287,default
34,-3.536528885307572,default
35,-2.9250896572497105,default
36,-2.4434226154711425,default
37,-2.213674843254349,default
38,-2.041606724205277,default
39,-1.8380940555956577,default
40,-2.2797937988665318,default
41,-2.213674843254349,default
42,-2.127640783729813,default
43,-2.3459127544787144,default
44,-1.9937561153795933,default
45,-1.612731754722855,default
46,-1.3260396122362827,default
47,-1.2784741520312046,default
48,-1.2478201984789585,default
49,-1.1604364513781285,default
50,-0.9834282993700718,default
51,-0.6644857525255894,default
52,-0.4968717693712925,default
53,-0.4907820820238804,default
54,-0.5994227528002476,default
55,-0.9134419559862827,default
56,-1.1101544498827671,default
57,-1.3120849728014683,default
58,-1.8565705418017124,default
59,-2.414881527366898,default
60,-2.6921184658434605,default
61,-2.7971108555224156,default
62,-2.684687435570023,default
63,-2.3253906368639683,default
64,-1.9842203258898472,default
65,-1.744926750602982,default
66,-1.5982916950609898,default
67,-1.4672735332873081,default
68,-1.275558292808796,default
69,-1.0348070263293003,default
70,-0.8410943149950718,default
71,-0.8418443798449253,default
72,0.03625806852816993,default
73,0.19432148016234763,default
74,0.3394464235798793,default
75,0.47197249179043865,default
76,0.59223927780371,default
77,0.7005863746293812,default
78,0.7973533752771331,default
79,0.8828798727566323,default
80,0.9575054600775914,default
81,1.0215697302496665,default
82,1.0754122762825418,default
83,1.1193726911859159,default
84,1.1537905679694624,default
85,1.1790054996428516,default
86,1.1953570792157855,default
87,1.2031848996979413,default
88,1.2028285540989962,default
89,1.1946276354286347,default
90,1.1789217366965303,default
91,1.1560504509123852,default
92,1.1263533710858624,default
93,1.0901700902266498,default
94,1.0478402013444423,default
95,0.9997032974489031,default
96,0.9460989715497305,default
97,0.8873668166565878,default
98,0.8238464257791804,default
99,0.7558773919271715,default
100,0.6837993081102631,default
101,0.6079517673381147,default
102,0.5286743626204249,default
103,0.44630668696686016,default
104,0.3611883333871262,default
105,0.27365889489088957,default
106,0.18405796448783818,default
107,0.09272513518763859,default
108,0.0,default
109,-0.09377784806541456,default
110,-0.1882688159989172,default
111,-0.28313331079083426,default
112,-0.37803173943146007,default
113,-0.47262450891114227,default
114,-0.5665720262201717,default
115,-0.6595346983488852,default
116,-0.7511729322875951,default
117,-0.8411471350266098,default
118,-0.9291177135562556,default
119,-0.7053538153182402,default
120,2.3550645709607387,default
121,-0.11975938076045267,default
122,-1.7749155163195347,default
123,-2.6868036388781285,default
124,-3.3782213329699253,default
125,-3.3291004299547886,default
126,-2.8866794704821324,default
127,-2.536313831749222,default
128,-2.317699253502152,default
129,-2.0723083614733433,default
130,-1.7934949993517613,default
131,-1.5711534618761718,default
132,-1.3435824512865757,default
133,-1.1535652279284214,default
134,-1.1435554623034214,default
135,-1.134542286339066,default
136,-1.078026115837357,default
137,-1.3561061024096226,default
138,-1.9396036006888195,default
139,-1.9518495524031678,default
140,-1.9610103297547568,default
141,-1.9671723061378934,default
142,-1.970421854946867,default
143,-1.9708453495759635,default
144,-1.9685291634194861,default
145,-1.963559669871728,default
146,-1.956023242326978,default
147,-1.946006254179526,default
148,-1.933595078823668,default
149,-1.9188760896536934,default
150,-1.9019356600639057,default
151,-1.8828601634485942,default
152,-1.8617359732020446,default
153,-1.8386494627185606,default
154,-1.8136870053924312,default
155,-1.7869349746179388,default
156,-1.7584797437893869,default
157,-1.7284076863010753,default
158,-1.6968051755472793,default
159,-1.6637585849223058,default
160,-1.6293542878204441,default
161,-1.5936786576359872,default
162,-1.5568180677632348,default
163,-1.5188588915964587,default
164,-1.4798875025299836,default
165,-1.4399902739580774,default
166,-1.3992535792750367,default
167,-1.3577637918751684,default
168,-1.3156072851527512,default
169,-1.2728704325020779,default
170,-1.2296396073174556,default
171,-1.1860011829931558,default
172,-1.1420415329234999,default
173,-1.0978470305027557,default
174,-1.0535040491252339,default
175,-1.0090989621852167,default
176,-0.9647181430769969,default
177,-0.9204479651948745,default
178,-0.8763748019331423,default
179,-0.8325850266860861,default
180,-0.7891650128480094,default
181,-0.7462011338131873,default
182,-1.5193026661303257,default
183,-1.370504200401566,default
184,-1.4123428463366245,default
185,-1.351569473686478,default
186,-1.3134964107897495,default
187,-1.7600348591234898,default
188,-2.1123493313219726,default
189,-1.8798549770739257,default
190,-1.4823716282274937,default
191,-1.1859710811999058,default
192,-0.9341190456774449,default
193,-0.6476057171251988,default
194,-0.3812130093004882,default
195,-0.25343734020259134,default
196,-0.2184866070177769,default
197,-0.25347024196650736,default
198,-0.20532590145137064,default
199,0.11198443180058248,default
200,0.34195727115605123,default
201,0.29476612812016256,default
202,0.2165691257092739,default
203,0.12143582111332663,default
204,0.014241397437789516,default
205,0.0628530383679653,default
206,0.21213263278935202,default
207,0.30218189960453756,default
208,0.363347232398727,default
209,0.5343443751904751,default
210,0.7126304507825161,default
211,0.6601631045911098,default
212,0.5233213306042934,default
213,0.5139676929089809,default
214,0.6305662990186001,default
215,0.769139468726852,default
216,0.9574300647351528,default
217,1.179072558936813,default
218,-0.25752880194451677,default
219,-0.2905867068106218,default
220,-0.3257119151616621,default
221,-0.3627397441496498,default
222,-0.4015055109266292,default
223,-0.4418445326446552,default
224,-0.4835921264557719,default
225,-0.5265836095119951,default
226,-0.5706542989653798,default
227,-0.6156395119679665,default
228,-0.6613745656717889,default
229,-0.7076947772288911,default
230,-0.7544354637912996,default
231,-0.8014319425110727,default
232,-0.8485195305402407,default
233,-0.8955335450308368,default
234,-0.942309303134909,default
235,-0.9886821220045015,default
236,-1.0344873187916441,default
237,-1.0795602106483777,default
238,-1.1237361147267393,default
239,-1.1668503481787802,default
240,-1.2087382281565375,default
241,-1.2492350718120306,default
242,-1.2881761962973215,default
243,-1.3253969187644472,default
244,-1.3607325563654413,default
245,-1.3940184262523339,default
246,-1.4250898455771797,default
247,-1.4537821314920158,default
248,-1.4799306011488795,default
249,-1.5033705716998114,default
250,-1.5239373602968413,default
251,-1.5414662840920244,default
252,-1.555792660237401,default
253,-1.5667518058849943,default
254,-1.5741790381868483,default
255,-1.5779096742950003,default
256,-1.577779031361505,default
257,-1.573622426538396,default
258,-1.5652751769777034,default
259,-1.5525725998314748,default
260,-1.5353500122517438,default
261,-1.5134427313905583,default
262,-1.4866860743999553,default
263,-1.4549153584319576,default
264,-1.417965900638638,default
265,-1.3756730181720123,default
266,-1.3278720281841139,default
267,-1.2743982478270013,default
268,-1.215086994252708,default
269,-1.1497735846132748,default
270,-1.078293336060728,default
271,-1.000481565747119,default
272,-1.0393874509039236,default
273,-0.6546385883715367,default
274,-0.46407109493281595,default
275,-0.09839421505000345,default
276,0.034024417457320766,default
277,0.026257693824508266,default
278,0.12329643970463522,default
279,0.31147259479496725,default
280,0.5567080379102016,default
281,0.6312662959668423,default
282,0.5392968059155727,default
283,0.5324370265576626,default
284,0.46945923572514303,default
285,0.49259299045536764,default
286,0.827493846473434,default
