,index,Timestamp,Dia_Spline3_Base,Event
0,1319,-891051.184025,4.683628319418023,sitting
1,1320,-891051.164573,4.754821540131445,sitting
2,1321,-891051.152168,4.82238088381839,sitting
3,1322,-891051.1393030001,4.886238489666624,sitting
4,1323,-891051.129307,4.946326496863936,sitting
5,1324,-891051.116176,5.002577044598102,sitting
6,1325,-891051.10195,5.054922272056903,sitting
7,1326,-891051.0855330001,5.103294318428123,sitting
8,1327,-891051.074399,5.147625322899536,sitting
9,1328,-891051.066601,5.187847424658937,sitting
10,1329,-891051.058122,5.223892762894085,sitting
11,1330,-891051.043116,5.255693476792771,sitting
12,1331,-891051.028319,5.283181705542777,sitting
13,1332,-891051.016929,5.306289588331879,sitting
14,1333,-891051.001845,5.324949264347865,sitting
15,1334,-891050.992601,5.339092872778508,sitting
16,1335,-891050.978978,5.348652552811579,sitting
17,1336,-891050.969755,5.353560443634876,sitting
18,1337,-891050.952924,5.3537486844361695,sitting
19,1338,-891050.941699,5.34914941440325,sitting
20,1339,-891050.930365,5.339694772723881,sitting
21,1340,-891050.919344,5.325316898585857,sitting
22,1341,-891050.910801,5.305947931176952,sitting
23,1342,-891050.898306,5.281520009684947,sitting
24,1343,-891050.886707,5.251965273297621,sitting
25,1344,-891050.878148,5.21721586120276,sitting
26,1345,-891050.86381,5.177203912588126,sitting
27,1346,-891050.856245,5.131861566641518,sitting
28,1347,-891050.846444,5.081120962550724,sitting
29,1348,-891050.838322,5.024914239503502,sitting
30,1349,-891050.830755,4.963173536687641,sitting
31,1350,-891050.820346,4.8958309932909145,sitting
32,1351,-891050.811134,4.822818748501128,sitting
33,1352,-891050.800735,4.744068941506029,sitting
34,1353,-891050.792396,4.6595137114934175,sitting
35,1354,-891050.783389,4.56908519765107,sitting
36,1355,-891050.775486,4.472715539166764,sitting
37,1356,-891050.765382,4.370336875228283,sitting
38,1357,-891050.759071,4.261881345023397,sitting
39,1358,-891050.749501,4.31610911012584,sitting
40,1359,-891050.738226,2.1162047386169434,sitting
41,1360,-891050.729212,2.601205348968506,sitting
42,1361,-891050.721345,3.0266880989074707,sitting
43,1362,-891050.7094930001,3.1801583766937256,sitting
44,1363,-891050.701093,3.3589882850646973,sitting
45,1364,-891050.693336,3.5989983081817627,sitting
46,1365,-891050.6855970001,3.841618299484253,sitting
47,1366,-891050.67714,4.231243371963501,sitting
48,1367,-891050.6696200001,4.703830242156982,sitting
49,1368,-891050.655046,5.195643424987793,sitting
50,1369,-891050.641416,5.713910341262817,sitting
51,1370,-891050.624651,6.29551362991333,sitting
52,1371,-891050.612709,4.870283842086792,sitting
53,1372,-891050.601698,1.2340867519378662,sitting
54,1373,-891050.593626,-0.6395695209503174,sitting
55,1374,-891050.586742,-0.6417591571807861,sitting
56,1375,-891050.578389,-0.5820002555847168,sitting
57,1376,-891050.57101,-0.3687937259674072,sitting
58,1377,-891050.558803,-0.2543654441833496,sitting
