,index,Timestamp,Dia_Spline3_Base,Event
0,857,-879474.751261,-1.5413848225015414,sitting
1,858,-879474.7414620001,-1.5598530341234706,sitting
2,859,-879474.723542,-1.578285435034303,sitting
3,860,-879474.706722,-1.5966813297077458,sitting
4,861,-879474.692434,-1.6150400226175137,sitting
5,862,-879474.674167,-1.6333608182373247,sitting
6,863,-879474.663516,-1.6516430210408775,sitting
7,864,-879474.650859,-1.669885935501899,sitting
8,865,-879474.631254,-1.6880888660940947,sitting
9,866,-879474.620756,-1.7062511172911812,sitting
10,867,-879474.610413,-1.724371993566871,sitting
11,868,-879474.602158,-1.742450799394872,sitting
12,869,-879474.593887,-1.7604868392489017,sitting
13,870,-879474.583632,-1.7784794176026715,sitting
14,871,-879474.5726150001,-1.7964278389298922,sitting
15,872,-879474.562101,-1.8143314077042785,sitting
16,873,-879474.5460130001,-1.8321894283995448,sitting
17,874,-879474.534077,-1.8500012054894022,sitting
18,875,-879474.522079,-1.8677660434475634,sitting
19,876,-879474.504743,-1.8854832467477394,sitting
20,877,-879474.494813,-1.9031521198636447,sitting
21,878,-879474.480771,-1.9207719672689922,sitting
22,879,-879474.468519,-1.9383420934374964,sitting
23,880,-879474.455684,-1.9558618028428665,sitting
24,881,-879474.438684,-1.9733303999588188,sitting
25,882,-879474.426169,-1.990747189259059,sitting
26,883,-879474.418236,-2.008111475217305,sitting
27,884,-879474.4091780001,-2.0254225623072752,sitting
28,885,-879474.399919,-2.04267975500267,sitting
29,886,-879474.387915,-2.059882357777216,sitting
30,887,-879474.375859,-2.077029675104617,sitting
31,888,-879474.363484,-2.0941210114585846,sitting
32,889,-879474.348946,-2.111155671312833,sitting
33,890,-879474.328382,-2.1281329591410785,sitting
34,891,-879474.31485,-2.1450521794170356,sitting
35,892,-879474.305358,-2.161912636614405,sitting
36,893,-879474.291164,-1.8136914724812137,sitting
37,894,-879474.276254,-1.860778426598035,sitting
38,895,-879474.265942,-1.866956209610425,sitting
39,896,-879474.249588,-2.1080609316334353,sitting
40,897,-879474.226048,-1.8832424635395633,sitting
41,898,-879474.216275,-2.009935593079053,sitting
42,899,-879474.205059,-2.106219624947034,sitting
43,900,-879474.189385,-2.1099022383198367,sitting
44,901,-879474.177549,-2.111333584259473,sitting
45,902,-879474.163725,-2.1620729917988406,sitting
46,903,-879474.149105,-2.3261745924458133,sitting
47,904,-879474.139765,-2.5428724045261966,sitting
48,905,-879474.125394,-2.533551191757642,sitting
49,906,-879474.113538,-2.5121414417729007,sitting
50,907,-879474.099776,-2.6276662106022464,sitting
51,908,-879474.084047,-2.6987509483799563,sitting
52,909,-879474.070185,-2.7634536976322757,sitting
53,910,-879474.058164,-2.809281205604993,sitting
54,911,-879474.044104,-2.8374479765400515,sitting
55,912,-879474.033031,-2.8802585358128177,sitting
56,913,-879474.020045,-2.8366088623509036,sitting
57,914,-879474.009787,-2.799398040245496,sitting
58,915,-879473.9962170001,-2.833913897942029,sitting
59,916,-879473.984467,-2.8339228386387454,sitting
60,917,-879473.969749,-2.96602556652876,sitting
61,918,-879473.9602270001,-3.2642633671269046,sitting
62,919,-879473.940775,-2.8352658504948245,sitting
63,920,-879473.926621,-2.8352658504948245,sitting
64,921,-879473.9107070001,-2.8352658504948245,sitting
65,922,-879473.898602,-2.8339183682903872,sitting
66,923,-879473.886393,-2.8166559690937625,sitting
67,924,-879473.8772110001,-2.6662583321374242,sitting
68,925,-879473.864277,-2.6807894174945215,sitting
69,926,-879473.854279,-2.6952380918792755,sitting
70,927,-879473.8402720001,-2.709603659765394,sitting
71,928,-879473.826639,-2.723885425626591,sitting
72,929,-879473.814819,-2.7380826939365814,sitting
73,930,-879473.80466,-2.7521947691690745,sitting
74,931,-879473.7900340001,-2.76622095579779,sitting
75,932,-879473.779268,-2.78016055829643,sitting
76,933,-879473.766086,-2.7940128811387197,sitting
77,934,-879473.75663,-2.8077772287983596,sitting
78,935,-879473.747209,-2.821452905749071,sitting
