,Dia_Spline3_Base,Event
1718,-1.786372184753418,sitting
1719,-1.671842098236084,sitting
1720,-1.6698288917541504,sitting
1721,-1.6465809345245361,sitting
1722,-1.6232542991638184,sitting
1723,-1.6544857025146484,sitting
1724,-1.6534173488616943,sitting
1725,-1.5756125450134277,sitting
1726,-1.5364577770233154,sitting
1727,-1.591141700744629,sitting
1728,-1.5692477226257324,sitting
1729,-1.6364476680755615,sitting
1730,-1.6420832872390747,sitting
1731,-1.6420832872390747,sitting
1732,-1.6455014944076538,sitting
1733,-1.650435209274292,sitting
1734,-1.7634756565093994,sitting
1735,-1.6840026378631592,sitting
1736,-1.6350085735321045,sitting
1737,-1.630711317062378,sitting
1738,-1.6375856399536133,sitting
1739,-1.6255333423614502,sitting
1740,-1.6569883823394775,sitting
1741,-1.6556696891784668,sitting
1742,-1.6474530696868896,sitting
1743,-1.6946892738342285,sitting
1744,-1.6491761207580566,sitting
1745,-1.6192951202392578,sitting
1746,-1.702099323272705,sitting
1747,-1.7968246936798096,sitting
1748,-1.6567445993423462,sitting
1749,-1.8094754219055176,sitting
1750,-1.7859783172607422,sitting
1751,-1.6609563827514648,sitting
1752,-1.5576114654541016,sitting
1753,-1.5127599239349365,sitting
1754,-1.5642120838165283,sitting
1755,-1.65826416015625,sitting
1756,-1.6565008163452148,sitting
1757,-1.6586198806762695,sitting
1758,-1.6937870979309082,sitting
1759,-1.6346323490142822,sitting
1760,-1.5342662334442139,sitting
1761,-1.5444309711456299,sitting
1762,-1.6191978454589844,sitting
1763,-1.6938591003417969,sitting
1764,-1.706968069076538,sitting
1765,-1.6144583225250244,sitting
1766,-1.597900152206421,sitting
1767,-1.6472570896148682,sitting
1768,-1.6327128410339355,sitting
1769,-1.6536078453063965,sitting
1770,-1.6754741668701172,sitting
1771,-1.6777584552764893,sitting
1772,-1.7042350769042969,sitting
1773,-1.6470825672149658,sitting
1774,-1.574185848236084,sitting
1775,-1.61824369430542,sitting
1776,-1.6814329624176025,sitting
1777,-1.6125192642211914,sitting
